Quarter,Percent of Cases Rejected
2017 Q1,6.90%
2017 Q2,4.97%
2017 Q3,6.46%
2017 Q4,7.66%
2018 Q1,7.97%
2018 Q2,9.46%
2018 Q3,7.87%
2018 Q4,9.98%
2019 Q1,14.57%
2019 Q2,22.27%
2019 Q3,24.80%
2019 Q4,28.22%
2020 Q1,33.53%
2020 Q2,45.34%
2020 Q3,41.13%
2020 Q4,42.71%
2021 Q1,37.95%
2021 Q2,43.77%
2021 Q3,39.01%
2021 Q4,36.13%
2022 Q1,33.01%
2022 Q2,27.04%
2022 Q3,27.25%
2022 Q4,29.06%
2023 Q1,26.91%
2023 Q2,28.92%
2023 Q3,28.35%
2023 Q4,25.30%
2024 Q1,24.67%
2024 Q2,25.95%
2024 Q3,25.38%
2024 Q4,24.77%
2025 Q1,22.21%
2025 Q2,25.71%
2025 Q3,24.55%
2025 Q4,26.87%
