Quarter,Released at Arraignment,Detained at Arraignment,,Released,Detained
2017 Q1,185,68.5,,211.00,83.50
2017 Q2,162,57.5,,182.00,65.50
2017 Q3,152,63.5,,176.00,74.00
2017 Q4,171,63,,195.00,66.50
2018 Q1,152,74.5,,193.00,82.50
2018 Q2,152,77,,193.00,89.00
2018 Q3,166,65,,193.00,77.00
2018 Q4,180,81,,197.00,86.00
2019 Q1,173,78,,222.50,92.00
2019 Q2,196,76.5,,234.00,85.00
2019 Q3,194,86,,230.00,94.00
2019 Q4,175.5,88,,210.00,106.00
2020 Q1,210,92,,241.50,106.00
2020 Q2,255,70,,244.00,101.00
2020 Q3,308.5,70,,341.00,91.00
2020 Q4,323.5,108,,368.00,143.00
2021 Q1,290,137,,388.00,187.00
2021 Q2,241,155,,324.00,176.00
2021 Q3,273,127.5,,329.00,155.00
2021 Q4,261.5,145,,322.00,169.00
2022 Q1,338,182,,375.00,211.00
2022 Q2,282,141,,351.50,168.00
2022 Q3,349,161,,356.00,167.50
2022 Q4,366.5,167,,378.00,170.00
2023 Q1,353.5,184,,382.00,194.00
2023 Q2,346.5,210,,404.00,218.00
2023 Q3,329,142,,390.50,180.00
2023 Q4,287,141.5,,369.00,184.00
