Quarter,Asian,Black,Latino/a,White
2017 Q1,96,158,612,485
2017 Q2,140,198,865,676
2017 Q3,107,210,807,538
2017 Q4,106,214,797,571
2018 Q1,132,215,846,615
2018 Q2,148,245,868,692
2018 Q3,134,243,957,652
2018 Q4,113,186,836,573
2019 Q1,123,179,665,506
2019 Q2,84,194,682,445
2019 Q3,47,102,414,275
2019 Q4,47,62,266,195
2020 Q1,35,76,258,195
2020 Q2,13,27,91,42
2020 Q3,10,23,97,43
2020 Q4,18,30,90,53
2021 Q1,11,9,86,46
2021 Q2,9,12,63,19
2021 Q3,14,16,74,27
2021 Q4,3,5,53,20
2022 Q1,17,20,68,48
2022 Q2,12,26,83,58
2022 Q3,12,24,97,59
2022 Q4,17,30,97,68
2023 Q1,17,24,98,83
2023 Q2,16,31,112,75
2023 Q3,23,28,119,85
2023 Q4,11,40,140,90
2024 Q1,30,37,143,111
2024 Q2,35,45,172,99
2024 Q3,20,59,185,79
