Quarter,Asian,Black,Latino/a,White
2017 Q1,95.7%,95.7%,95.3%,95.3%
2017 Q2,96.0%,94.4%,95.7%,95.8%
2017 Q3,95.6%,96.7%,96.1%,95.8%
2017 Q4,94.9%,91.1%,92.9%,91.7%
2018 Q1,94.7%,91.7%,93.4%,91.5%
2018 Q2,94.2%,89.3%,90.2%,91.7%
2018 Q3,89.8%,88.7%,92.3%,91.1%
2018 Q4,83.6%,90.9%,88.8%,90.9%
2019 Q1,66.7%,61.2%,65.7%,69.1%
2019 Q2,38.6%,55.0%,48.0%,50.9%
2019 Q3,22.4%,30.9%,32.4%,33.1%
2019 Q4,25.0%,22.6%,26.3%,28.8%
2020 Q1,12.3%,20.7%,14.3%,19.6%
2020 Q2,4.9%,5.6%,6.0%,4.7%
2020 Q3,8.4%,7.4%,10.2%,7.6%
2020 Q4,4.2%,9.6%,5.9%,6.5%
2021 Q1,5.5%,5.8%,7.4%,6.6%
2021 Q2,5.1%,5.3%,5.4%,4.6%
2021 Q3,8.5%,7.2%,8.7%,5.4%
2021 Q4,10.7%,9.8%,8.9%,9.0%
2022 Q1,12.2%,21.4%,10.0%,14.5%
2022 Q2,21.2%,11.6%,26.5%,23.2%
2022 Q3,28.2%,22.5%,22.9%,25.0%
2022 Q4,26.7%,32.4%,21.5%,29.6%
2023 Q1,27.9%,23.1%,23.3%,34.2%
2023 Q2,24.5%,25.8%,24.3%,30.5%
2023 Q3,31.3%,34.2%,27.1%,39.9%
2023 Q4,19.0%,29.1%,30.6%,32.2%
2024 Q1,46.5%,31.9%,27.0%,42.4%
2024 Q2,39.7%,40.0%,32.8%,37.6%
2024 Q3,16.0%,41.9%,29.4%,30.2%
