Year,Quarter,Month,Day,Median of REFERFILE_DAYS,PRETRIAL
2017,Qtr 1,January,3,0,Detained
2017,Qtr 1,January,3,2,ROR/Bonded
2017,Qtr 1,January,4,0,Detained
2017,Qtr 1,January,4,2,ROR/Bonded
2017,Qtr 1,January,5,0,Detained
2017,Qtr 1,January,5,6,ROR/Bonded
2017,Qtr 1,January,6,0,Detained
2017,Qtr 1,January,6,0,ROR/Bonded
2017,Qtr 1,January,9,0,Detained
2017,Qtr 1,January,9,9,ROR/Bonded
2017,Qtr 1,January,10,0,Detained
2017,Qtr 1,January,10,20,ROR/Bonded
2017,Qtr 1,January,11,0,Detained
2017,Qtr 1,January,11,15,ROR/Bonded
2017,Qtr 1,January,12,0,Detained
2017,Qtr 1,January,12,15,ROR/Bonded
2017,Qtr 1,January,13,0,Detained
2017,Qtr 1,January,13,4,ROR/Bonded
2017,Qtr 1,January,15,2,Detained
2017,Qtr 1,January,15,25,ROR/Bonded
2017,Qtr 1,January,17,0,Detained
2017,Qtr 1,January,17,6,ROR/Bonded
2017,Qtr 1,January,18,0,Detained
2017,Qtr 1,January,18,2,ROR/Bonded
2017,Qtr 1,January,19,0,Detained
2017,Qtr 1,January,19,4,ROR/Bonded
2017,Qtr 1,January,20,0,Detained
2017,Qtr 1,January,20,3,ROR/Bonded
2017,Qtr 1,January,21,16,ROR/Bonded
2017,Qtr 1,January,23,0,Detained
2017,Qtr 1,January,23,15,ROR/Bonded
2017,Qtr 1,January,24,0,Detained
2017,Qtr 1,January,24,10,ROR/Bonded
2017,Qtr 1,January,25,0,Detained
2017,Qtr 1,January,25,10,ROR/Bonded
2017,Qtr 1,January,26,0,Detained
2017,Qtr 1,January,26,8,ROR/Bonded
2017,Qtr 1,January,27,0,Detained
2017,Qtr 1,January,27,21,ROR/Bonded
2017,Qtr 1,January,28,13,ROR/Bonded
2017,Qtr 1,January,29,1,Detained
2017,Qtr 1,January,29,20,ROR/Bonded
2017,Qtr 1,January,30,0,Detained
2017,Qtr 1,January,30,9,ROR/Bonded
2017,Qtr 1,January,31,0,Detained
2017,Qtr 1,January,31,0,ROR/Bonded
2017,Qtr 1,February,1,0,Detained
2017,Qtr 1,February,1,35,ROR/Bonded
2017,Qtr 1,February,2,0,Detained
2017,Qtr 1,February,2,32,ROR/Bonded
2017,Qtr 1,February,3,0,Detained
2017,Qtr 1,February,3,12,ROR/Bonded
2017,Qtr 1,February,4,2,Detained
2017,Qtr 1,February,4,13,ROR/Bonded
2017,Qtr 1,February,5,1,ROR/Bonded
2017,Qtr 1,February,6,0,Detained
2017,Qtr 1,February,6,10,ROR/Bonded
2017,Qtr 1,February,7,0,Detained
2017,Qtr 1,February,7,19,ROR/Bonded
2017,Qtr 1,February,8,0,Detained
2017,Qtr 1,February,8,8,ROR/Bonded
2017,Qtr 1,February,9,0,Detained
2017,Qtr 1,February,9,12,ROR/Bonded
2017,Qtr 1,February,10,0,Detained
2017,Qtr 1,February,10,13,ROR/Bonded
2017,Qtr 1,February,11,3,Detained
2017,Qtr 1,February,11,19,ROR/Bonded
2017,Qtr 1,February,13,1,Detained
2017,Qtr 1,February,13,94,ROR/Bonded
2017,Qtr 1,February,14,0,Detained
2017,Qtr 1,February,14,1,ROR/Bonded
2017,Qtr 1,February,15,0,Detained
2017,Qtr 1,February,15,11,ROR/Bonded
2017,Qtr 1,February,16,0,Detained
2017,Qtr 1,February,16,28,ROR/Bonded
2017,Qtr 1,February,17,0,Detained
2017,Qtr 1,February,17,15,ROR/Bonded
2017,Qtr 1,February,18,45,ROR/Bonded
2017,Qtr 1,February,21,0,Detained
2017,Qtr 1,February,21,1,ROR/Bonded
2017,Qtr 1,February,22,0,Detained
2017,Qtr 1,February,22,7,ROR/Bonded
2017,Qtr 1,February,23,0,Detained
2017,Qtr 1,February,23,14,ROR/Bonded
2017,Qtr 1,February,24,0,Detained
2017,Qtr 1,February,24,0,ROR/Bonded
2017,Qtr 1,February,26,30,ROR/Bonded
2017,Qtr 1,February,27,0,Detained
2017,Qtr 1,February,27,3,ROR/Bonded
2017,Qtr 1,February,28,0,Detained
2017,Qtr 1,February,28,5,ROR/Bonded
2017,Qtr 1,March,1,0,Detained
2017,Qtr 1,March,1,2,ROR/Bonded
2017,Qtr 1,March,2,0,Detained
2017,Qtr 1,March,2,8,ROR/Bonded
2017,Qtr 1,March,3,0,Detained
2017,Qtr 1,March,3,11,ROR/Bonded
2017,Qtr 1,March,4,32,ROR/Bonded
2017,Qtr 1,March,5,1,Detained
2017,Qtr 1,March,5,10,ROR/Bonded
2017,Qtr 1,March,6,0,Detained
2017,Qtr 1,March,6,1,ROR/Bonded
2017,Qtr 1,March,7,0,Detained
2017,Qtr 1,March,7,15,ROR/Bonded
2017,Qtr 1,March,8,0,Detained
2017,Qtr 1,March,8,116,ROR/Bonded
2017,Qtr 1,March,9,0,Detained
2017,Qtr 1,March,9,5,ROR/Bonded
2017,Qtr 1,March,10,2,Detained
2017,Qtr 1,March,10,4,ROR/Bonded
2017,Qtr 1,March,11,2,Detained
2017,Qtr 1,March,11,2,ROR/Bonded
2017,Qtr 1,March,12,5,ROR/Bonded
2017,Qtr 1,March,13,0,Detained
2017,Qtr 1,March,13,0,ROR/Bonded
2017,Qtr 1,March,14,0,Detained
2017,Qtr 1,March,14,8,ROR/Bonded
2017,Qtr 1,March,15,0,Detained
2017,Qtr 1,March,15,1,ROR/Bonded
2017,Qtr 1,March,16,0,Detained
2017,Qtr 1,March,16,18,ROR/Bonded
2017,Qtr 1,March,17,0,Detained
2017,Qtr 1,March,17,10,ROR/Bonded
2017,Qtr 1,March,18,2,Detained
2017,Qtr 1,March,18,2,ROR/Bonded
2017,Qtr 1,March,19,19,Detained
2017,Qtr 1,March,19,28,ROR/Bonded
2017,Qtr 1,March,20,0,Detained
2017,Qtr 1,March,20,24,ROR/Bonded
2017,Qtr 1,March,21,0,Detained
2017,Qtr 1,March,21,33,ROR/Bonded
2017,Qtr 1,March,22,0,Detained
2017,Qtr 1,March,22,4,ROR/Bonded
2017,Qtr 1,March,23,0,Detained
2017,Qtr 1,March,23,6,ROR/Bonded
2017,Qtr 1,March,24,0,Detained
2017,Qtr 1,March,24,38,ROR/Bonded
2017,Qtr 1,March,25,26,ROR/Bonded
2017,Qtr 1,March,26,1,Detained
2017,Qtr 1,March,26,36,ROR/Bonded
2017,Qtr 1,March,27,0,Detained
2017,Qtr 1,March,27,14,ROR/Bonded
2017,Qtr 1,March,28,0,Detained
2017,Qtr 1,March,28,2,ROR/Bonded
2017,Qtr 1,March,29,0,Detained
2017,Qtr 1,March,29,17,ROR/Bonded
2017,Qtr 1,March,30,0,Detained
2017,Qtr 1,March,30,2,ROR/Bonded
2017,Qtr 2,April,2,1,Detained
2017,Qtr 2,April,2,1,ROR/Bonded
2017,Qtr 2,April,3,0,Detained
2017,Qtr 2,April,3,1,ROR/Bonded
2017,Qtr 2,April,4,0,Detained
2017,Qtr 2,April,4,29,ROR/Bonded
2017,Qtr 2,April,5,0,Detained
2017,Qtr 2,April,5,35,ROR/Bonded
2017,Qtr 2,April,6,0,Detained
2017,Qtr 2,April,6,4,ROR/Bonded
2017,Qtr 2,April,7,0,Detained
2017,Qtr 2,April,7,7,ROR/Bonded
2017,Qtr 2,April,8,18,ROR/Bonded
2017,Qtr 2,April,10,0,Detained
2017,Qtr 2,April,10,14,ROR/Bonded
2017,Qtr 2,April,11,0,Detained
2017,Qtr 2,April,11,14,ROR/Bonded
2017,Qtr 2,April,12,0,Detained
2017,Qtr 2,April,12,26,ROR/Bonded
2017,Qtr 2,April,13,0,Detained
2017,Qtr 2,April,13,0,ROR/Bonded
2017,Qtr 2,April,14,0,Detained
2017,Qtr 2,April,14,0,ROR/Bonded
2017,Qtr 2,April,15,34,ROR/Bonded
2017,Qtr 2,April,17,0,Detained
2017,Qtr 2,April,17,1,ROR/Bonded
2017,Qtr 2,April,18,0,Detained
2017,Qtr 2,April,18,2,ROR/Bonded
2017,Qtr 2,April,19,0,Detained
2017,Qtr 2,April,19,2,ROR/Bonded
2017,Qtr 2,April,20,0,Detained
2017,Qtr 2,April,20,21,ROR/Bonded
2017,Qtr 2,April,21,0,Detained
2017,Qtr 2,April,21,5,ROR/Bonded
2017,Qtr 2,April,22,14,Detained
2017,Qtr 2,April,22,20,ROR/Bonded
2017,Qtr 2,April,24,0,Detained
2017,Qtr 2,April,24,2,ROR/Bonded
2017,Qtr 2,April,25,0,Detained
2017,Qtr 2,April,25,5,ROR/Bonded
2017,Qtr 2,April,26,0,Detained
2017,Qtr 2,April,26,5,ROR/Bonded
2017,Qtr 2,April,27,0,Detained
2017,Qtr 2,April,27,13,ROR/Bonded
2017,Qtr 2,April,28,0,Detained
2017,Qtr 2,April,28,14,ROR/Bonded
2017,Qtr 2,May,1,0,Detained
2017,Qtr 2,May,1,3,ROR/Bonded
2017,Qtr 2,May,2,0,Detained
2017,Qtr 2,May,2,10,ROR/Bonded
2017,Qtr 2,May,3,0,Detained
2017,Qtr 2,May,3,2,ROR/Bonded
2017,Qtr 2,May,4,0,Detained
2017,Qtr 2,May,4,1,ROR/Bonded
2017,Qtr 2,May,5,0,Detained
2017,Qtr 2,May,5,0,ROR/Bonded
2017,Qtr 2,May,6,2,ROR/Bonded
2017,Qtr 2,May,8,0,Detained
2017,Qtr 2,May,8,10,ROR/Bonded
2017,Qtr 2,May,9,0,Detained
2017,Qtr 2,May,9,8,ROR/Bonded
2017,Qtr 2,May,10,0,Detained
2017,Qtr 2,May,10,2,ROR/Bonded
2017,Qtr 2,May,11,0,Detained
2017,Qtr 2,May,11,10,ROR/Bonded
2017,Qtr 2,May,12,3,Detained
2017,Qtr 2,May,12,17,ROR/Bonded
2017,Qtr 2,May,15,0,Detained
2017,Qtr 2,May,15,8,ROR/Bonded
2017,Qtr 2,May,16,0,Detained
2017,Qtr 2,May,16,17,ROR/Bonded
2017,Qtr 2,May,17,0,Detained
2017,Qtr 2,May,17,5,ROR/Bonded
2017,Qtr 2,May,18,0,Detained
2017,Qtr 2,May,18,1,ROR/Bonded
2017,Qtr 2,May,19,0,Detained
2017,Qtr 2,May,19,23,ROR/Bonded
2017,Qtr 2,May,22,0,Detained
2017,Qtr 2,May,22,1,ROR/Bonded
2017,Qtr 2,May,23,0,Detained
2017,Qtr 2,May,23,3,ROR/Bonded
2017,Qtr 2,May,24,0,Detained
2017,Qtr 2,May,24,2,ROR/Bonded
2017,Qtr 2,May,25,0,Detained
2017,Qtr 2,May,25,5,ROR/Bonded
2017,Qtr 2,May,26,0,Detained
2017,Qtr 2,May,26,6,ROR/Bonded
2017,Qtr 2,May,30,0,Detained
2017,Qtr 2,May,30,16,ROR/Bonded
2017,Qtr 2,May,31,0,Detained
2017,Qtr 2,May,31,7,ROR/Bonded
2017,Qtr 2,June,1,0,Detained
2017,Qtr 2,June,1,1,ROR/Bonded
2017,Qtr 2,June,2,3,Detained
2017,Qtr 2,June,2,4,ROR/Bonded
2017,Qtr 2,June,5,0,Detained
2017,Qtr 2,June,5,1,ROR/Bonded
2017,Qtr 2,June,6,0,Detained
2017,Qtr 2,June,6,2,ROR/Bonded
2017,Qtr 2,June,7,1,Detained
2017,Qtr 2,June,7,7,ROR/Bonded
2017,Qtr 2,June,8,0,Detained
2017,Qtr 2,June,8,10,ROR/Bonded
2017,Qtr 2,June,9,0,Detained
2017,Qtr 2,June,9,16,ROR/Bonded
2017,Qtr 2,June,10,2,Detained
2017,Qtr 2,June,10,10,ROR/Bonded
2017,Qtr 2,June,11,2181,Detained
2017,Qtr 2,June,12,0,Detained
2017,Qtr 2,June,12,3,ROR/Bonded
2017,Qtr 2,June,13,0,Detained
2017,Qtr 2,June,13,7,ROR/Bonded
2017,Qtr 2,June,14,0,Detained
2017,Qtr 2,June,14,2,ROR/Bonded
2017,Qtr 2,June,15,0,Detained
2017,Qtr 2,June,15,1,ROR/Bonded
2017,Qtr 2,June,16,0,Detained
2017,Qtr 2,June,16,5,ROR/Bonded
2017,Qtr 2,June,17,4,ROR/Bonded
2017,Qtr 2,June,19,0,Detained
2017,Qtr 2,June,19,19,ROR/Bonded
2017,Qtr 2,June,20,0,Detained
2017,Qtr 2,June,20,2,ROR/Bonded
2017,Qtr 2,June,21,0,Detained
2017,Qtr 2,June,21,16,ROR/Bonded
2017,Qtr 2,June,22,0,Detained
2017,Qtr 2,June,22,4,ROR/Bonded
2017,Qtr 2,June,23,0,Detained
2017,Qtr 2,June,23,5,ROR/Bonded
2017,Qtr 2,June,26,0,Detained
2017,Qtr 2,June,26,23,ROR/Bonded
2017,Qtr 2,June,27,0,Detained
2017,Qtr 2,June,27,19,ROR/Bonded
