Year,Quarter,Month,Day,Median of REFERFILE_DAYS,PRETRIAL
2017,Qtr 1,January,3,0,Detained
2017,Qtr 1,January,3,6,ROR/Bonded
2017,Qtr 1,January,4,0,Detained
2017,Qtr 1,January,4,6,ROR/Bonded
2017,Qtr 1,January,5,0,Detained
2017,Qtr 1,January,5,5,ROR/Bonded
2017,Qtr 1,January,6,0,Detained
2017,Qtr 1,January,6,0,ROR/Bonded
2017,Qtr 1,January,8,288,ROR/Bonded
2017,Qtr 1,January,9,1,Detained
2017,Qtr 1,January,9,9,ROR/Bonded
2017,Qtr 1,January,10,0,Detained
2017,Qtr 1,January,10,3,ROR/Bonded
2017,Qtr 1,January,11,0,Detained
2017,Qtr 1,January,11,6,ROR/Bonded
2017,Qtr 1,January,12,0,Detained
2017,Qtr 1,January,12,6,ROR/Bonded
2017,Qtr 1,January,13,0,Detained
2017,Qtr 1,January,13,11,ROR/Bonded
2017,Qtr 1,January,14,0,ROR/Bonded
2017,Qtr 1,January,15,0,ROR/Bonded
2017,Qtr 1,January,17,1,Detained
2017,Qtr 1,January,17,2,ROR/Bonded
2017,Qtr 1,January,18,0,Detained
2017,Qtr 1,January,18,7,ROR/Bonded
2017,Qtr 1,January,19,0,Detained
2017,Qtr 1,January,19,7,ROR/Bonded
2017,Qtr 1,January,20,0,Detained
2017,Qtr 1,January,20,4,ROR/Bonded
2017,Qtr 1,January,21,11,ROR/Bonded
2017,Qtr 1,January,23,0,Detained
2017,Qtr 1,January,23,1,ROR/Bonded
2017,Qtr 1,January,24,0,Detained
2017,Qtr 1,January,24,16,ROR/Bonded
2017,Qtr 1,January,25,0,Detained
2017,Qtr 1,January,25,15,ROR/Bonded
2017,Qtr 1,January,26,1,Detained
2017,Qtr 1,January,26,5,ROR/Bonded
2017,Qtr 1,January,27,0,Detained
2017,Qtr 1,January,27,3,ROR/Bonded
2017,Qtr 1,January,28,6,ROR/Bonded
2017,Qtr 1,January,29,0,Detained
2017,Qtr 1,January,29,3,ROR/Bonded
2017,Qtr 1,January,30,0,Detained
2017,Qtr 1,January,30,3,ROR/Bonded
2017,Qtr 1,January,31,0,Detained
2017,Qtr 1,January,31,9,ROR/Bonded
2017,Qtr 1,February,1,1,Detained
2017,Qtr 1,February,1,8,ROR/Bonded
2017,Qtr 1,February,2,0,Detained
2017,Qtr 1,February,2,8,ROR/Bonded
2017,Qtr 1,February,3,0,Detained
2017,Qtr 1,February,3,6,ROR/Bonded
2017,Qtr 1,February,4,6,ROR/Bonded
2017,Qtr 1,February,6,0,Detained
2017,Qtr 1,February,6,22,ROR/Bonded
2017,Qtr 1,February,7,0,Detained
2017,Qtr 1,February,7,10,ROR/Bonded
2017,Qtr 1,February,8,0,Detained
2017,Qtr 1,February,8,7,ROR/Bonded
2017,Qtr 1,February,9,0,Detained
2017,Qtr 1,February,9,15,ROR/Bonded
2017,Qtr 1,February,10,0,Detained
2017,Qtr 1,February,10,7,ROR/Bonded
2017,Qtr 1,February,11,2,Detained
2017,Qtr 1,February,11,13,ROR/Bonded
2017,Qtr 1,February,12,25,ROR/Bonded
2017,Qtr 1,February,13,1,Detained
2017,Qtr 1,February,13,0,ROR/Bonded
2017,Qtr 1,February,14,0,Detained
2017,Qtr 1,February,14,14,ROR/Bonded
2017,Qtr 1,February,15,0,Detained
2017,Qtr 1,February,15,15,ROR/Bonded
2017,Qtr 1,February,16,0,Detained
2017,Qtr 1,February,16,13,ROR/Bonded
2017,Qtr 1,February,17,0,Detained
2017,Qtr 1,February,17,6,ROR/Bonded
2017,Qtr 1,February,18,4,ROR/Bonded
2017,Qtr 1,February,21,0,Detained
2017,Qtr 1,February,21,6,ROR/Bonded
2017,Qtr 1,February,22,0,Detained
2017,Qtr 1,February,22,19,ROR/Bonded
2017,Qtr 1,February,23,0,Detained
2017,Qtr 1,February,23,5,ROR/Bonded
2017,Qtr 1,February,24,0,Detained
2017,Qtr 1,February,24,7,ROR/Bonded
2017,Qtr 1,February,25,867,ROR/Bonded
2017,Qtr 1,February,26,26,ROR/Bonded
2017,Qtr 1,February,27,0,Detained
2017,Qtr 1,February,27,4,ROR/Bonded
2017,Qtr 1,February,28,0,Detained
2017,Qtr 1,February,28,8,ROR/Bonded
2017,Qtr 1,March,1,0,Detained
2017,Qtr 1,March,1,6,ROR/Bonded
2017,Qtr 1,March,2,0,Detained
2017,Qtr 1,March,2,7,ROR/Bonded
2017,Qtr 1,March,3,0,Detained
2017,Qtr 1,March,3,5,ROR/Bonded
2017,Qtr 1,March,4,11,ROR/Bonded
2017,Qtr 1,March,5,1,Detained
2017,Qtr 1,March,5,9,ROR/Bonded
2017,Qtr 1,March,6,0,Detained
2017,Qtr 1,March,6,7,ROR/Bonded
2017,Qtr 1,March,7,0,Detained
2017,Qtr 1,March,7,9,ROR/Bonded
2017,Qtr 1,March,8,0,Detained
2017,Qtr 1,March,8,6,ROR/Bonded
2017,Qtr 1,March,9,0,Detained
2017,Qtr 1,March,9,6,ROR/Bonded
2017,Qtr 1,March,10,0,Detained
2017,Qtr 1,March,10,4,ROR/Bonded
2017,Qtr 1,March,11,4,ROR/Bonded
2017,Qtr 1,March,12,5,ROR/Bonded
2017,Qtr 1,March,13,0,Detained
2017,Qtr 1,March,13,8,ROR/Bonded
2017,Qtr 1,March,14,0,Detained
2017,Qtr 1,March,14,2,ROR/Bonded
2017,Qtr 1,March,15,0,Detained
2017,Qtr 1,March,15,5,ROR/Bonded
2017,Qtr 1,March,16,0,Detained
2017,Qtr 1,March,16,1,ROR/Bonded
2017,Qtr 1,March,17,0,Detained
2017,Qtr 1,March,17,0,ROR/Bonded
2017,Qtr 1,March,18,2,Detained
2017,Qtr 1,March,18,4,ROR/Bonded
2017,Qtr 1,March,19,1,ROR/Bonded
2017,Qtr 1,March,20,1,Detained
2017,Qtr 1,March,20,1,ROR/Bonded
2017,Qtr 1,March,21,0,Detained
2017,Qtr 1,March,21,0,ROR/Bonded
2017,Qtr 1,March,22,0,Detained
2017,Qtr 1,March,22,2,ROR/Bonded
2017,Qtr 1,March,23,0,Detained
2017,Qtr 1,March,23,25,ROR/Bonded
2017,Qtr 1,March,24,0,Detained
2017,Qtr 1,March,24,0,ROR/Bonded
2017,Qtr 1,March,26,1,Detained
2017,Qtr 1,March,26,1,ROR/Bonded
2017,Qtr 1,March,27,0,Detained
2017,Qtr 1,March,27,1,ROR/Bonded
2017,Qtr 1,March,28,0,Detained
2017,Qtr 1,March,28,0,ROR/Bonded
2017,Qtr 1,March,29,0,Detained
2017,Qtr 1,March,29,6,ROR/Bonded
2017,Qtr 1,March,30,0,Detained
2017,Qtr 1,March,30,0,ROR/Bonded
2017,Qtr 1,March,31,81,ROR/Bonded
2017,Qtr 2,April,1,31,Detained
2017,Qtr 2,April,1,24,ROR/Bonded
2017,Qtr 2,April,2,0,ROR/Bonded
2017,Qtr 2,April,3,0,Detained
2017,Qtr 2,April,3,0,ROR/Bonded
2017,Qtr 2,April,4,0,Detained
2017,Qtr 2,April,4,2,ROR/Bonded
2017,Qtr 2,April,5,0,Detained
2017,Qtr 2,April,5,6,ROR/Bonded
2017,Qtr 2,April,6,0,Detained
2017,Qtr 2,April,6,4,ROR/Bonded
2017,Qtr 2,April,7,0,Detained
2017,Qtr 2,April,7,3,ROR/Bonded
2017,Qtr 2,April,8,3,ROR/Bonded
2017,Qtr 2,April,9,92,ROR/Bonded
2017,Qtr 2,April,10,0,Detained
2017,Qtr 2,April,10,21,ROR/Bonded
2017,Qtr 2,April,11,0,Detained
2017,Qtr 2,April,11,10,ROR/Bonded
2017,Qtr 2,April,12,0,Detained
2017,Qtr 2,April,12,32,ROR/Bonded
2017,Qtr 2,April,13,0,Detained
2017,Qtr 2,April,13,5,ROR/Bonded
2017,Qtr 2,April,14,0,Detained
2017,Qtr 2,April,14,3,ROR/Bonded
2017,Qtr 2,April,17,0,Detained
2017,Qtr 2,April,17,1,ROR/Bonded
2017,Qtr 2,April,18,0,Detained
2017,Qtr 2,April,18,7,ROR/Bonded
2017,Qtr 2,April,19,0,Detained
2017,Qtr 2,April,19,1,ROR/Bonded
2017,Qtr 2,April,20,0,Detained
2017,Qtr 2,April,20,21,ROR/Bonded
2017,Qtr 2,April,21,0,Detained
2017,Qtr 2,April,21,10,ROR/Bonded
2017,Qtr 2,April,22,0,Detained
2017,Qtr 2,April,22,0,ROR/Bonded
2017,Qtr 2,April,23,0,ROR/Bonded
2017,Qtr 2,April,24,1,Detained
2017,Qtr 2,April,24,2,ROR/Bonded
2017,Qtr 2,April,25,0,Detained
2017,Qtr 2,April,25,2,ROR/Bonded
2017,Qtr 2,April,26,0,Detained
2017,Qtr 2,April,26,6,ROR/Bonded
2017,Qtr 2,April,27,0,Detained
2017,Qtr 2,April,27,5,ROR/Bonded
2017,Qtr 2,April,28,0,Detained
2017,Qtr 2,April,28,3,ROR/Bonded
2017,Qtr 2,April,29,68,ROR/Bonded
2017,Qtr 2,May,1,0,Detained
2017,Qtr 2,May,1,16,ROR/Bonded
2017,Qtr 2,May,2,0,Detained
2017,Qtr 2,May,2,9,ROR/Bonded
2017,Qtr 2,May,3,0,Detained
2017,Qtr 2,May,3,1,ROR/Bonded
2017,Qtr 2,May,4,0,Detained
2017,Qtr 2,May,4,12,ROR/Bonded
2017,Qtr 2,May,5,0,Detained
2017,Qtr 2,May,5,6,ROR/Bonded
2017,Qtr 2,May,6,3,ROR/Bonded
2017,Qtr 2,May,7,74,ROR/Bonded
2017,Qtr 2,May,8,0,Detained
2017,Qtr 2,May,8,0,ROR/Bonded
2017,Qtr 2,May,9,0,Detained
2017,Qtr 2,May,9,1,ROR/Bonded
2017,Qtr 2,May,10,0,Detained
2017,Qtr 2,May,10,7,ROR/Bonded
2017,Qtr 2,May,11,0,Detained
2017,Qtr 2,May,11,31,ROR/Bonded
2017,Qtr 2,May,12,3,Detained
2017,Qtr 2,May,12,7,ROR/Bonded
2017,Qtr 2,May,13,11,ROR/Bonded
2017,Qtr 2,May,14,240,ROR/Bonded
2017,Qtr 2,May,15,0,Detained
2017,Qtr 2,May,15,1,ROR/Bonded
2017,Qtr 2,May,16,0,Detained
2017,Qtr 2,May,16,23,ROR/Bonded
2017,Qtr 2,May,17,0,Detained
2017,Qtr 2,May,17,2,ROR/Bonded
2017,Qtr 2,May,18,0,Detained
2017,Qtr 2,May,18,1,ROR/Bonded
2017,Qtr 2,May,19,3,Detained
2017,Qtr 2,May,19,4,ROR/Bonded
2017,Qtr 2,May,21,46,ROR/Bonded
2017,Qtr 2,May,22,0,Detained
2017,Qtr 2,May,22,10,ROR/Bonded
2017,Qtr 2,May,23,0,Detained
2017,Qtr 2,May,23,7,ROR/Bonded
2017,Qtr 2,May,24,0,Detained
2017,Qtr 2,May,24,6,ROR/Bonded
2017,Qtr 2,May,25,0,Detained
2017,Qtr 2,May,25,8,ROR/Bonded
2017,Qtr 2,May,26,0,Detained
2017,Qtr 2,May,26,21,ROR/Bonded
2017,Qtr 2,May,27,800,ROR/Bonded
2017,Qtr 2,May,29,898,ROR/Bonded
2017,Qtr 2,May,30,0,Detained
2017,Qtr 2,May,30,10,ROR/Bonded
2017,Qtr 2,May,31,0,Detained
2017,Qtr 2,May,31,7,ROR/Bonded
2017,Qtr 2,June,1,0,Detained
2017,Qtr 2,June,1,4,ROR/Bonded
2017,Qtr 2,June,2,0,Detained
2017,Qtr 2,June,2,27,ROR/Bonded
2017,Qtr 2,June,3,50,ROR/Bonded
2017,Qtr 2,June,4,1,ROR/Bonded
2017,Qtr 2,June,5,0,Detained
2017,Qtr 2,June,5,14,ROR/Bonded
2017,Qtr 2,June,6,0,Detained
2017,Qtr 2,June,6,6,ROR/Bonded
2017,Qtr 2,June,7,0,Detained
2017,Qtr 2,June,7,6,ROR/Bonded
2017,Qtr 2,June,8,0,Detained
2017,Qtr 2,June,8,5,ROR/Bonded
2017,Qtr 2,June,9,0,Detained
2017,Qtr 2,June,9,5,ROR/Bonded
2017,Qtr 2,June,10,2,Detained
2017,Qtr 2,June,10,0,ROR/Bonded
2017,Qtr 2,June,11,0,ROR/Bonded
2017,Qtr 2,June,12,0,Detained
2017,Qtr 2,June,12,4,ROR/Bonded
2017,Qtr 2,June,13,0,Detained
2017,Qtr 2,June,13,6,ROR/Bonded
2017,Qtr 2,June,14,0,Detained
2017,Qtr 2,June,14,20,ROR/Bonded
2017,Qtr 2,June,15,0,Detained
2017,Qtr 2,June,15,12,ROR/Bonded
2017,Qtr 2,June,16,5,ROR/Bonded
2017,Qtr 2,June,17,35,ROR/Bonded
2017,Qtr 2,June,18,33,ROR/Bonded
2017,Qtr 2,June,19,0,Detained
2017,Qtr 2,June,19,1,ROR/Bonded
2017,Qtr 2,June,20,0,Detained
2017,Qtr 2,June,20,8,ROR/Bonded
2017,Qtr 2,June,21,0,Detained
2017,Qtr 2,June,21,2,ROR/Bonded
2017,Qtr 2,June,22,0,Detained
2017,Qtr 2,June,22,7,ROR/Bonded
2017,Qtr 2,June,23,2,Detained
2017,Qtr 2,June,23,4,ROR/Bonded
2017,Qtr 2,June,24,0,ROR/Bonded
2017,Qtr 2,June,25,16,ROR/Bonded
2017,Qtr 2,June,26,0,Detained
2017,Qtr 2,June,26,3,ROR/Bonded
2017,Qtr 2,June,27,0,Detained
2017,Qtr 2,June,27,3,ROR/Bonded
2017,Qtr 2,June,28,0,Detained
2017,Qtr 2,June,28,13,ROR/Bonded
2017,Qtr 2,June,29,0,Detained
2017,Qtr 2,June,29,12,ROR/Bonded
2017,Qtr 2,June,30,0,Detained
2017,Qtr 2,June,30,7,ROR/Bonded
2017,Qtr 3,July,1,46,ROR/Bonded
2017,Qtr 3,July,2,0,ROR/Bonded
2017,Qtr 3,July,3,0,Detained
2017,Qtr 3,July,3,7,ROR/Bonded
2017,Qtr 3,July,5,0,Detained
2017,Qtr 3,July,5,23,ROR/Bonded
2017,Qtr 3,July,6,0,Detained
2017,Qtr 3,July,6,19,ROR/Bonded
2017,Qtr 3,July,7,0,Detained
2017,Qtr 3,July,7,7,ROR/Bonded
2017,Qtr 3,July,8,62,ROR/Bonded
2017,Qtr 3,July,10,0,Detained
2017,Qtr 3,July,10,10,ROR/Bonded
2017,Qtr 3,July,11,0,Detained
2017,Qtr 3,July,11,1,ROR/Bonded
2017,Qtr 3,July,12,0,Detained
2017,Qtr 3,July,12,2,ROR/Bonded
2017,Qtr 3,July,13,0,Detained
2017,Qtr 3,July,13,12,ROR/Bonded
2017,Qtr 3,July,14,0,Detained
2017,Qtr 3,July,14,18,ROR/Bonded
2017,Qtr 3,July,15,11,ROR/Bonded
2017,Qtr 3,July,16,365,ROR/Bonded
2017,Qtr 3,July,17,0,Detained
2017,Qtr 3,July,17,2,ROR/Bonded
2017,Qtr 3,July,18,0,Detained
2017,Qtr 3,July,18,1,ROR/Bonded
2017,Qtr 3,July,19,0,Detained
2017,Qtr 3,July,19,1,ROR/Bonded
2017,Qtr 3,July,20,0,Detained
2017,Qtr 3,July,20,5,ROR/Bonded
2017,Qtr 3,July,21,0,Detained
2017,Qtr 3,July,21,3,ROR/Bonded
2017,Qtr 3,July,24,0,Detained
2017,Qtr 3,July,24,1,ROR/Bonded
2017,Qtr 3,July,25,0,Detained
2017,Qtr 3,July,25,9,ROR/Bonded
2017,Qtr 3,July,26,0,Detained
2017,Qtr 3,July,26,2,ROR/Bonded
2017,Qtr 3,July,27,0,Detained
2017,Qtr 3,July,27,28,ROR/Bonded
2017,Qtr 3,July,28,0,Detained
2017,Qtr 3,July,28,2,ROR/Bonded
2017,Qtr 3,July,30,0,ROR/Bonded
2017,Qtr 3,July,31,0,Detained
2017,Qtr 3,July,31,8,ROR/Bonded
2017,Qtr 3,August,1,0,Detained
2017,Qtr 3,August,1,14,ROR/Bonded
2017,Qtr 3,August,2,0,Detained
2017,Qtr 3,August,2,20,ROR/Bonded
2017,Qtr 3,August,3,0,Detained
2017,Qtr 3,August,3,13,ROR/Bonded
2017,Qtr 3,August,4,2,Detained
2017,Qtr 3,August,4,11,ROR/Bonded
2017,Qtr 3,August,5,9,ROR/Bonded
2017,Qtr 3,August,7,0,Detained
2017,Qtr 3,August,7,4,ROR/Bonded
2017,Qtr 3,August,8,0,Detained
2017,Qtr 3,August,8,2,ROR/Bonded
2017,Qtr 3,August,9,0,Detained
2017,Qtr 3,August,9,5,ROR/Bonded
2017,Qtr 3,August,10,0,Detained
2017,Qtr 3,August,10,15,ROR/Bonded
2017,Qtr 3,August,11,0,Detained
2017,Qtr 3,August,11,11,ROR/Bonded
2017,Qtr 3,August,12,11,ROR/Bonded
2017,Qtr 3,August,13,2,ROR/Bonded
2017,Qtr 3,August,14,0,Detained
2017,Qtr 3,August,14,7,ROR/Bonded
2017,Qtr 3,August,15,0,Detained
2017,Qtr 3,August,15,6,ROR/Bonded
2017,Qtr 3,August,16,0,Detained
2017,Qtr 3,August,16,15,ROR/Bonded
2017,Qtr 3,August,17,0,Detained
2017,Qtr 3,August,17,11,ROR/Bonded
2017,Qtr 3,August,18,0,Detained
2017,Qtr 3,August,18,5,ROR/Bonded
2017,Qtr 3,August,19,3,ROR/Bonded
2017,Qtr 3,August,20,2,ROR/Bonded
2017,Qtr 3,August,21,0,Detained
2017,Qtr 3,August,21,8,ROR/Bonded
2017,Qtr 3,August,22,0,Detained
2017,Qtr 3,August,22,17,ROR/Bonded
2017,Qtr 3,August,23,0,Detained
2017,Qtr 3,August,23,6,ROR/Bonded
2017,Qtr 3,August,24,0,Detained
2017,Qtr 3,August,24,4,ROR/Bonded
2017,Qtr 3,August,25,0,Detained
2017,Qtr 3,August,25,6,ROR/Bonded
2017,Qtr 3,August,26,2,Detained
2017,Qtr 3,August,26,3,ROR/Bonded
2017,Qtr 3,August,27,4,ROR/Bonded
2017,Qtr 3,August,28,0,Detained
2017,Qtr 3,August,28,10,ROR/Bonded
2017,Qtr 3,August,29,0,Detained
2017,Qtr 3,August,29,8,ROR/Bonded
2017,Qtr 3,August,30,0,Detained
2017,Qtr 3,August,30,12,ROR/Bonded
2017,Qtr 3,August,31,0,Detained
2017,Qtr 3,August,31,7,ROR/Bonded
2017,Qtr 3,September,1,0,Detained
2017,Qtr 3,September,1,27,ROR/Bonded
2017,Qtr 3,September,3,4,Detained
2017,Qtr 3,September,3,41,ROR/Bonded
2017,Qtr 3,September,5,0,Detained
2017,Qtr 3,September,5,16,ROR/Bonded
2017,Qtr 3,September,6,0,Detained
2017,Qtr 3,September,6,27,ROR/Bonded
2017,Qtr 3,September,7,0,Detained
2017,Qtr 3,September,7,12,ROR/Bonded
2017,Qtr 3,September,8,0,Detained
2017,Qtr 3,September,8,5,ROR/Bonded
