Year,Quarter,Month,Day,Average of CHARGE_RED_DISPO_SORT
2017,Qtr 1,January,2,0.00%
2017,Qtr 1,January,3,0.00%
2017,Qtr 1,January,4,15.38%
2017,Qtr 1,January,5,4.00%
2017,Qtr 1,January,6,16.22%
2017,Qtr 1,January,9,10.53%
2017,Qtr 1,January,10,3.45%
2017,Qtr 1,January,11,11.36%
2017,Qtr 1,January,12,10.00%
2017,Qtr 1,January,13,20.00%
2017,Qtr 1,January,17,4.55%
2017,Qtr 1,January,18,3.45%
2017,Qtr 1,January,19,14.81%
2017,Qtr 1,January,20,0.00%
2017,Qtr 1,January,23,10.34%
2017,Qtr 1,January,24,7.14%
2017,Qtr 1,January,25,14.71%
2017,Qtr 1,January,26,4.55%
2017,Qtr 1,January,27,3.45%
2017,Qtr 1,January,30,15.38%
2017,Qtr 1,January,31,0.00%
2017,Qtr 1,February,1,9.09%
2017,Qtr 1,February,2,0.00%
2017,Qtr 1,February,3,4.00%
2017,Qtr 1,February,6,10.00%
2017,Qtr 1,February,7,16.67%
2017,Qtr 1,February,8,11.11%
2017,Qtr 1,February,9,2.44%
2017,Qtr 1,February,10,12.50%
2017,Qtr 1,February,14,14.71%
2017,Qtr 1,February,15,14.29%
2017,Qtr 1,February,16,10.26%
2017,Qtr 1,February,17,15.63%
2017,Qtr 1,February,21,6.25%
2017,Qtr 1,February,22,3.57%
2017,Qtr 1,February,23,0.00%
2017,Qtr 1,February,24,5.00%
2017,Qtr 1,February,27,9.09%
2017,Qtr 1,February,28,4.76%
2017,Qtr 1,March,1,0.00%
2017,Qtr 1,March,2,3.03%
2017,Qtr 1,March,3,9.38%
2017,Qtr 1,March,6,3.13%
2017,Qtr 1,March,7,9.68%
2017,Qtr 1,March,8,12.50%
2017,Qtr 1,March,9,7.14%
2017,Qtr 1,March,10,6.67%
2017,Qtr 1,March,13,8.33%
2017,Qtr 1,March,14,3.03%
2017,Qtr 1,March,15,16.67%
2017,Qtr 1,March,16,12.20%
2017,Qtr 1,March,17,4.17%
2017,Qtr 1,March,20,6.67%
2017,Qtr 1,March,21,2.33%
2017,Qtr 1,March,22,10.53%
2017,Qtr 1,March,23,12.20%
2017,Qtr 1,March,24,0.00%
2017,Qtr 1,March,27,15.22%
2017,Qtr 1,March,28,0.00%
2017,Qtr 1,March,29,12.50%
2017,Qtr 1,March,30,3.03%
2017,Qtr 2,April,3,5.88%
2017,Qtr 2,April,4,9.38%
2017,Qtr 2,April,5,8.33%
2017,Qtr 2,April,6,0.00%
2017,Qtr 2,April,7,5.88%
2017,Qtr 2,April,10,7.14%
2017,Qtr 2,April,11,14.29%
2017,Qtr 2,April,12,15.38%
2017,Qtr 2,April,13,3.70%
2017,Qtr 2,April,14,12.00%
2017,Qtr 2,April,17,12.12%
2017,Qtr 2,April,18,20.00%
2017,Qtr 2,April,19,15.00%
2017,Qtr 2,April,20,6.25%
2017,Qtr 2,April,21,4.76%
2017,Qtr 2,April,24,9.68%
2017,Qtr 2,April,25,4.76%
2017,Qtr 2,April,26,3.33%
2017,Qtr 2,April,27,8.00%
2017,Qtr 2,April,28,4.17%
2017,Qtr 2,May,1,18.18%
2017,Qtr 2,May,2,0.00%
2017,Qtr 2,May,3,8.33%
2017,Qtr 2,May,4,11.76%
2017,Qtr 2,May,5,5.88%
2017,Qtr 2,May,8,9.38%
2017,Qtr 2,May,9,4.76%
2017,Qtr 2,May,10,9.68%
2017,Qtr 2,May,11,9.09%
2017,Qtr 2,May,12,4.17%
2017,Qtr 2,May,15,3.23%
2017,Qtr 2,May,16,6.90%
2017,Qtr 2,May,17,23.33%
2017,Qtr 2,May,18,7.89%
2017,Qtr 2,May,19,5.88%
2017,Qtr 2,May,22,6.67%
2017,Qtr 2,May,23,4.00%
2017,Qtr 2,May,24,4.17%
2017,Qtr 2,May,25,4.35%
2017,Qtr 2,May,26,0.00%
2017,Qtr 2,May,30,12.12%
2017,Qtr 2,May,31,14.81%
2017,Qtr 2,June,1,11.11%
2017,Qtr 2,June,2,0.00%
2017,Qtr 2,June,5,10.71%
2017,Qtr 2,June,6,0.00%
2017,Qtr 2,June,7,10.34%
2017,Qtr 2,June,8,8.00%
2017,Qtr 2,June,9,5.26%
2017,Qtr 2,June,12,8.70%
2017,Qtr 2,June,13,3.85%
2017,Qtr 2,June,14,16.67%
2017,Qtr 2,June,15,13.33%
2017,Qtr 2,June,16,0.00%
2017,Qtr 2,June,19,6.06%
2017,Qtr 2,June,20,11.76%
2017,Qtr 2,June,21,13.64%
2017,Qtr 2,June,22,19.35%
2017,Qtr 2,June,23,0.00%
2017,Qtr 2,June,26,27.03%
2017,Qtr 2,June,27,4.00%
2017,Qtr 2,June,28,15.79%
2017,Qtr 2,June,29,5.26%
2017,Qtr 2,June,30,0.00%
2017,Qtr 3,July,1,0.00%
2017,Qtr 3,July,3,20.00%
2017,Qtr 3,July,5,15.38%
2017,Qtr 3,July,6,9.68%
2017,Qtr 3,July,7,5.26%
2017,Qtr 3,July,10,8.82%
2017,Qtr 3,July,11,3.45%
2017,Qtr 3,July,12,5.00%
2017,Qtr 3,July,13,3.33%
2017,Qtr 3,July,14,4.00%
2017,Qtr 3,July,17,3.33%
2017,Qtr 3,July,18,5.00%
2017,Qtr 3,July,19,11.76%
2017,Qtr 3,July,20,16.67%
2017,Qtr 3,July,21,14.29%
2017,Qtr 3,July,24,5.71%
2017,Qtr 3,July,25,3.23%
2017,Qtr 3,July,26,12.00%
2017,Qtr 3,July,27,15.38%
2017,Qtr 3,July,28,0.00%
2017,Qtr 3,July,31,16.00%
2017,Qtr 3,August,1,5.00%
2017,Qtr 3,August,2,22.22%
2017,Qtr 3,August,3,13.16%
2017,Qtr 3,August,4,0.00%
2017,Qtr 3,August,6,0.00%
2017,Qtr 3,August,7,9.09%
2017,Qtr 3,August,8,12.90%
2017,Qtr 3,August,9,17.24%
2017,Qtr 3,August,10,10.00%
2017,Qtr 3,August,11,13.04%
2017,Qtr 3,August,14,16.13%
2017,Qtr 3,August,15,12.00%
2017,Qtr 3,August,16,15.38%
2017,Qtr 3,August,17,16.67%
2017,Qtr 3,August,18,5.56%
2017,Qtr 3,August,21,21.43%
2017,Qtr 3,August,22,16.67%
2017,Qtr 3,August,23,16.00%
2017,Qtr 3,August,24,3.45%
2017,Qtr 3,August,25,15.00%
2017,Qtr 3,August,27,0.00%
2017,Qtr 3,August,28,5.88%
2017,Qtr 3,August,29,15.63%
2017,Qtr 3,August,30,17.24%
2017,Qtr 3,August,31,6.45%
2017,Qtr 3,September,1,17.65%
2017,Qtr 3,September,5,14.29%
2017,Qtr 3,September,6,12.50%
2017,Qtr 3,September,7,4.88%
2017,Qtr 3,September,8,5.56%
2017,Qtr 3,September,11,17.86%
2017,Qtr 3,September,12,15.79%
2017,Qtr 3,September,13,4.76%
2017,Qtr 3,September,14,4.17%
2017,Qtr 3,September,15,9.52%
2017,Qtr 3,September,17,0.00%
2017,Qtr 3,September,18,15.38%
2017,Qtr 3,September,19,0.00%
2017,Qtr 3,September,20,14.29%
2017,Qtr 3,September,21,12.82%
2017,Qtr 3,September,22,12.50%
2017,Qtr 3,September,25,10.00%
2017,Qtr 3,September,26,10.34%
2017,Qtr 3,September,27,0.00%
2017,Qtr 3,September,28,16.67%
2017,Qtr 3,September,29,8.00%
2017,Qtr 4,October,2,13.64%
2017,Qtr 4,October,3,13.04%
2017,Qtr 4,October,4,18.75%
2017,Qtr 4,October,5,13.33%
2017,Qtr 4,October,6,0.00%
2017,Qtr 4,October,10,15.00%
2017,Qtr 4,October,11,7.69%
2017,Qtr 4,October,12,15.63%
2017,Qtr 4,October,13,0.00%
2017,Qtr 4,October,16,12.50%
2017,Qtr 4,October,17,2.56%
2017,Qtr 4,October,18,11.54%
2017,Qtr 4,October,19,5.88%
2017,Qtr 4,October,20,7.14%
2017,Qtr 4,October,23,9.09%
2017,Qtr 4,October,24,11.76%
2017,Qtr 4,October,25,15.38%
2017,Qtr 4,October,26,4.00%
2017,Qtr 4,October,27,4.00%
2017,Qtr 4,October,30,5.56%
2017,Qtr 4,October,31,0.00%
2017,Qtr 4,November,1,12.00%
2017,Qtr 4,November,2,7.14%
2017,Qtr 4,November,3,9.09%
2017,Qtr 4,November,6,11.11%
2017,Qtr 4,November,7,21.05%
2017,Qtr 4,November,8,5.26%
2017,Qtr 4,November,9,8.11%
2017,Qtr 4,November,13,0.00%
2017,Qtr 4,November,14,10.00%
2017,Qtr 4,November,15,9.09%
2017,Qtr 4,November,16,9.09%
2017,Qtr 4,November,17,8.33%
2017,Qtr 4,November,20,6.67%
2017,Qtr 4,November,21,4.35%
2017,Qtr 4,November,22,6.67%
2017,Qtr 4,November,27,8.57%
2017,Qtr 4,November,28,9.09%
2017,Qtr 4,November,29,0.00%
2017,Qtr 4,November,30,9.38%
2017,Qtr 4,December,1,6.67%
2017,Qtr 4,December,4,4.76%
2017,Qtr 4,December,5,10.00%
2017,Qtr 4,December,6,4.76%
2017,Qtr 4,December,7,3.70%
2017,Qtr 4,December,8,20.00%
2017,Qtr 4,December,11,0.00%
2017,Qtr 4,December,12,10.71%
2017,Qtr 4,December,13,0.00%
2017,Qtr 4,December,14,10.53%
2017,Qtr 4,December,15,7.14%
2017,Qtr 4,December,18,7.69%
2017,Qtr 4,December,19,13.04%
2017,Qtr 4,December,20,5.00%
2017,Qtr 4,December,21,18.52%
2017,Qtr 4,December,22,0.00%
2017,Qtr 4,December,26,12.50%
2017,Qtr 4,December,27,20.00%
2017,Qtr 4,December,28,0.00%
2017,Qtr 4,December,29,0.00%
2018,Qtr 1,January,2,23.08%
2018,Qtr 1,January,3,23.53%
2018,Qtr 1,January,4,10.00%
2018,Qtr 1,January,5,18.18%
2018,Qtr 1,January,7,0.00%
2018,Qtr 1,January,8,13.51%
2018,Qtr 1,January,9,10.34%
2018,Qtr 1,January,10,4.76%
2018,Qtr 1,January,11,6.25%
2018,Qtr 1,January,12,12.50%
2018,Qtr 1,January,16,11.54%
2018,Qtr 1,January,17,8.33%
2018,Qtr 1,January,18,7.32%
2018,Qtr 1,January,19,0.00%
2018,Qtr 1,January,22,5.71%
2018,Qtr 1,January,23,2.86%
2018,Qtr 1,January,24,10.00%
2018,Qtr 1,January,25,15.38%
2018,Qtr 1,January,26,10.71%
2018,Qtr 1,January,28,100.00%
2018,Qtr 1,January,29,23.08%
2018,Qtr 1,January,30,16.00%
2018,Qtr 1,January,31,11.54%
2018,Qtr 1,February,1,10.71%
2018,Qtr 1,February,2,6.67%
2018,Qtr 1,February,5,7.14%
2018,Qtr 1,February,6,5.88%
2018,Qtr 1,February,7,10.00%
2018,Qtr 1,February,8,6.25%
2018,Qtr 1,February,9,10.53%
2018,Qtr 1,February,11,0.00%
2018,Qtr 1,February,13,7.14%
2018,Qtr 1,February,14,25.00%
2018,Qtr 1,February,15,6.67%
2018,Qtr 1,February,16,14.29%
2018,Qtr 1,February,20,3.13%
2018,Qtr 1,February,21,0.00%
2018,Qtr 1,February,22,10.00%
2018,Qtr 1,February,23,11.11%
2018,Qtr 1,February,26,4.76%
2018,Qtr 1,February,27,3.33%
2018,Qtr 1,February,28,6.25%
2018,Qtr 1,March,1,11.11%
2018,Qtr 1,March,2,0.00%
2018,Qtr 1,March,5,7.14%
2018,Qtr 1,March,6,7.69%
2018,Qtr 1,March,7,7.69%
2018,Qtr 1,March,8,0.00%
2018,Qtr 1,March,9,0.00%
2018,Qtr 1,March,12,13.33%
2018,Qtr 1,March,13,20.59%
2018,Qtr 1,March,14,5.00%
2018,Qtr 1,March,15,0.00%
2018,Qtr 1,March,16,11.11%
2018,Qtr 1,March,19,12.50%
2018,Qtr 1,March,20,20.83%
2018,Qtr 1,March,21,22.22%
2018,Qtr 1,March,22,14.71%
