Year,Quarter,Month,Day,AllCasesSort,DEF_RACE
2017,Qtr 1,January,3,3,Missing/Unknown
2017,Qtr 1,January,4,2,Missing/Unknown
2017,Qtr 1,January,9,2,Missing/Unknown
2017,Qtr 1,January,17,1,Missing/Unknown
2017,Qtr 1,January,18,2,Missing/Unknown
2017,Qtr 1,January,21,1,Missing/Unknown
2017,Qtr 1,January,23,1,Missing/Unknown
2017,Qtr 1,January,27,1,Missing/Unknown
2017,Qtr 1,January,30,1,Missing/Unknown
2017,Qtr 1,February,2,3,Missing/Unknown
2017,Qtr 1,February,3,1,Missing/Unknown
2017,Qtr 1,February,6,1,Missing/Unknown
2017,Qtr 1,February,7,3,Missing/Unknown
2017,Qtr 1,February,14,1,Missing/Unknown
2017,Qtr 1,February,15,1,Missing/Unknown
2017,Qtr 1,February,22,1,Missing/Unknown
2017,Qtr 1,February,27,2,Missing/Unknown
2017,Qtr 1,March,1,1,Missing/Unknown
2017,Qtr 1,March,8,1,Missing/Unknown
2017,Qtr 1,March,9,1,Missing/Unknown
2017,Qtr 1,March,10,1,Missing/Unknown
2017,Qtr 1,March,14,1,Missing/Unknown
2017,Qtr 1,March,15,2,Missing/Unknown
2017,Qtr 1,March,20,1,Missing/Unknown
2017,Qtr 1,March,23,1,Missing/Unknown
2017,Qtr 1,March,28,1,Missing/Unknown
2017,Qtr 2,April,6,1,Missing/Unknown
2017,Qtr 2,April,7,1,Missing/Unknown
2017,Qtr 2,April,10,1,Missing/Unknown
2017,Qtr 2,April,11,1,Missing/Unknown
2017,Qtr 2,April,13,1,Missing/Unknown
2017,Qtr 2,April,14,1,Missing/Unknown
2017,Qtr 2,April,16,4,Missing/Unknown
2017,Qtr 2,April,18,1,Missing/Unknown
2017,Qtr 2,April,19,4,Missing/Unknown
2017,Qtr 2,April,20,1,Missing/Unknown
2017,Qtr 2,April,21,1,Missing/Unknown
2017,Qtr 2,April,25,1,Missing/Unknown
2017,Qtr 2,May,2,1,Missing/Unknown
2017,Qtr 2,May,3,1,Missing/Unknown
2017,Qtr 2,May,4,1,Missing/Unknown
2017,Qtr 2,May,8,2,Missing/Unknown
2017,Qtr 2,May,9,1,Missing/Unknown
2017,Qtr 2,May,11,1,Missing/Unknown
2017,Qtr 2,May,17,1,Missing/Unknown
2017,Qtr 2,May,22,1,Missing/Unknown
2017,Qtr 2,May,23,1,Missing/Unknown
2017,Qtr 2,May,24,1,Missing/Unknown
2017,Qtr 2,May,26,1,Missing/Unknown
2017,Qtr 2,May,31,1,Missing/Unknown
2017,Qtr 2,June,2,1,Missing/Unknown
2017,Qtr 2,June,5,1,Missing/Unknown
2017,Qtr 2,June,12,1,Missing/Unknown
2017,Qtr 2,June,20,3,Missing/Unknown
2017,Qtr 2,June,23,2,Missing/Unknown
2017,Qtr 2,June,27,2,Missing/Unknown
2017,Qtr 2,June,28,2,Missing/Unknown
2017,Qtr 2,June,29,1,Missing/Unknown
2017,Qtr 3,July,6,2,Missing/Unknown
2017,Qtr 3,July,10,1,Missing/Unknown
2017,Qtr 3,July,11,1,Missing/Unknown
2017,Qtr 3,July,12,1,Missing/Unknown
2017,Qtr 3,July,17,2,Missing/Unknown
2017,Qtr 3,July,25,1,Missing/Unknown
2017,Qtr 3,July,26,5,Missing/Unknown
2017,Qtr 3,July,30,1,Missing/Unknown
2017,Qtr 3,July,31,2,Missing/Unknown
2017,Qtr 3,August,2,1,Missing/Unknown
2017,Qtr 3,August,7,1,Missing/Unknown
2017,Qtr 3,August,8,1,Missing/Unknown
2017,Qtr 3,August,9,1,Missing/Unknown
2017,Qtr 3,August,10,1,Missing/Unknown
2017,Qtr 3,August,14,1,Missing/Unknown
2017,Qtr 3,August,15,1,Missing/Unknown
2017,Qtr 3,August,17,2,Missing/Unknown
2017,Qtr 3,August,22,2,Missing/Unknown
2017,Qtr 3,August,25,1,Missing/Unknown
2017,Qtr 3,August,28,1,Missing/Unknown
2017,Qtr 3,August,30,1,Missing/Unknown
2017,Qtr 3,August,31,2,Missing/Unknown
2017,Qtr 3,September,1,2,Missing/Unknown
2017,Qtr 3,September,5,1,Missing/Unknown
2017,Qtr 3,September,8,1,Missing/Unknown
2017,Qtr 3,September,11,1,Missing/Unknown
2017,Qtr 3,September,12,1,Missing/Unknown
2017,Qtr 3,September,13,1,Missing/Unknown
2017,Qtr 3,September,14,1,Missing/Unknown
2017,Qtr 3,September,19,2,Missing/Unknown
2017,Qtr 3,September,20,2,Missing/Unknown
2017,Qtr 3,September,26,1,Missing/Unknown
2017,Qtr 3,September,29,2,Missing/Unknown
2017,Qtr 4,October,10,1,Missing/Unknown
2017,Qtr 4,October,11,1,Missing/Unknown
2017,Qtr 4,October,12,3,Missing/Unknown
2017,Qtr 4,October,13,1,Missing/Unknown
2017,Qtr 4,October,17,1,Missing/Unknown
2017,Qtr 4,October,18,1,Missing/Unknown
2017,Qtr 4,October,20,1,Missing/Unknown
2017,Qtr 4,October,26,1,Missing/Unknown
2017,Qtr 4,November,6,1,Missing/Unknown
2017,Qtr 4,November,9,2,Missing/Unknown
2017,Qtr 4,November,11,1,Missing/Unknown
2017,Qtr 4,November,16,3,Missing/Unknown
2017,Qtr 4,November,20,1,Missing/Unknown
2017,Qtr 4,November,29,1,Missing/Unknown
2017,Qtr 4,December,1,3,Missing/Unknown
2017,Qtr 4,December,5,2,Missing/Unknown
