Year,Quarter,Month,Day,Average of FILING_DECISION_SORT,DEF_RACE
2017,Qtr 1,January,3,80.00%,Missing/Unknown
2017,Qtr 1,January,3,100.00%,Asian
2017,Qtr 1,January,3,75.00%,Black
2017,Qtr 1,January,3,100.00%,Latino
2017,Qtr 1,January,3,100.00%,White
2017,Qtr 1,January,4,100.00%,Missing/Unknown
2017,Qtr 1,January,4,100.00%,Black
2017,Qtr 1,January,4,100.00%,Latino
2017,Qtr 1,January,4,100.00%,White
2017,Qtr 1,January,5,100.00%,Missing/Unknown
2017,Qtr 1,January,5,100.00%,Latino
2017,Qtr 1,January,5,100.00%,White
2017,Qtr 1,January,6,100.00%,Latino
2017,Qtr 1,January,6,100.00%,White
2017,Qtr 1,January,9,100.00%,Asian
2017,Qtr 1,January,9,100.00%,Black
2017,Qtr 1,January,9,92.86%,Latino
2017,Qtr 1,January,9,100.00%,White
2017,Qtr 1,January,10,100.00%,Missing/Unknown
2017,Qtr 1,January,10,100.00%,Asian
2017,Qtr 1,January,10,100.00%,Black
2017,Qtr 1,January,10,88.89%,Latino
2017,Qtr 1,January,10,84.62%,White
2017,Qtr 1,January,11,100.00%,Black
2017,Qtr 1,January,11,100.00%,Latino
2017,Qtr 1,January,11,100.00%,White
2017,Qtr 1,January,12,100.00%,Missing/Unknown
2017,Qtr 1,January,12,100.00%,Asian
2017,Qtr 1,January,12,100.00%,Black
2017,Qtr 1,January,12,100.00%,Latino
2017,Qtr 1,January,12,100.00%,White
2017,Qtr 1,January,13,100.00%,Missing/Unknown
2017,Qtr 1,January,13,100.00%,Asian
2017,Qtr 1,January,13,100.00%,Black
2017,Qtr 1,January,13,100.00%,Latino
2017,Qtr 1,January,13,100.00%,White
2017,Qtr 1,January,15,0.00%,Latino
2017,Qtr 1,January,17,0.00%,Missing/Unknown
2017,Qtr 1,January,17,100.00%,Asian
2017,Qtr 1,January,17,100.00%,Black
2017,Qtr 1,January,17,92.86%,Latino
2017,Qtr 1,January,17,100.00%,White
2017,Qtr 1,January,18,100.00%,Missing/Unknown
2017,Qtr 1,January,18,100.00%,Asian
2017,Qtr 1,January,18,100.00%,Black
2017,Qtr 1,January,18,83.33%,Latino
2017,Qtr 1,January,18,80.00%,White
2017,Qtr 1,January,19,100.00%,Asian
2017,Qtr 1,January,19,100.00%,Black
2017,Qtr 1,January,19,100.00%,Latino
2017,Qtr 1,January,19,100.00%,White
2017,Qtr 1,January,20,100.00%,Missing/Unknown
2017,Qtr 1,January,20,66.67%,Asian
2017,Qtr 1,January,20,100.00%,Black
2017,Qtr 1,January,20,100.00%,Latino
2017,Qtr 1,January,20,100.00%,White
2017,Qtr 1,January,23,100.00%,Missing/Unknown
2017,Qtr 1,January,23,100.00%,Asian
2017,Qtr 1,January,23,100.00%,Black
2017,Qtr 1,January,23,100.00%,Latino
2017,Qtr 1,January,23,100.00%,White
2017,Qtr 1,January,24,100.00%,Missing/Unknown
2017,Qtr 1,January,24,100.00%,Asian
2017,Qtr 1,January,24,100.00%,Black
2017,Qtr 1,January,24,85.71%,Latino
2017,Qtr 1,January,24,90.00%,White
2017,Qtr 1,January,25,100.00%,Black
2017,Qtr 1,January,25,100.00%,Latino
2017,Qtr 1,January,25,80.00%,White
2017,Qtr 1,January,26,100.00%,Missing/Unknown
2017,Qtr 1,January,26,100.00%,Asian
2017,Qtr 1,January,26,100.00%,Black
2017,Qtr 1,January,26,76.92%,Latino
2017,Qtr 1,January,26,88.89%,White
2017,Qtr 1,January,27,100.00%,Asian
2017,Qtr 1,January,27,100.00%,Black
2017,Qtr 1,January,27,100.00%,Latino
2017,Qtr 1,January,27,100.00%,White
2017,Qtr 1,January,28,100.00%,Latino
2017,Qtr 1,January,28,50.00%,White
2017,Qtr 1,January,29,100.00%,Black
2017,Qtr 1,January,29,0.00%,Latino
2017,Qtr 1,January,30,100.00%,Asian
2017,Qtr 1,January,30,100.00%,Black
2017,Qtr 1,January,30,100.00%,Latino
2017,Qtr 1,January,30,100.00%,White
2017,Qtr 1,January,31,100.00%,Missing/Unknown
2017,Qtr 1,January,31,100.00%,Asian
2017,Qtr 1,January,31,100.00%,Black
2017,Qtr 1,January,31,88.89%,Latino
2017,Qtr 1,January,31,100.00%,White
2017,Qtr 1,February,1,100.00%,Asian
2017,Qtr 1,February,1,100.00%,Black
2017,Qtr 1,February,1,100.00%,Latino
2017,Qtr 1,February,1,100.00%,White
2017,Qtr 1,February,2,100.00%,Missing/Unknown
2017,Qtr 1,February,2,85.71%,Latino
2017,Qtr 1,February,2,100.00%,White
2017,Qtr 1,February,3,100.00%,Missing/Unknown
2017,Qtr 1,February,3,100.00%,Asian
2017,Qtr 1,February,3,100.00%,Black
2017,Qtr 1,February,3,100.00%,Latino
2017,Qtr 1,February,3,100.00%,White
2017,Qtr 1,February,4,100.00%,Asian
2017,Qtr 1,February,4,100.00%,Black
2017,Qtr 1,February,4,75.00%,Latino
2017,Qtr 1,February,4,100.00%,White
2017,Qtr 1,February,6,100.00%,Missing/Unknown
2017,Qtr 1,February,6,100.00%,Asian
2017,Qtr 1,February,6,100.00%,Latino
2017,Qtr 1,February,6,100.00%,White
2017,Qtr 1,February,7,50.00%,Missing/Unknown
2017,Qtr 1,February,7,100.00%,Asian
2017,Qtr 1,February,7,100.00%,Black
2017,Qtr 1,February,7,100.00%,Latino
2017,Qtr 1,February,7,100.00%,White
2017,Qtr 1,February,8,100.00%,Asian
2017,Qtr 1,February,8,100.00%,Black
2017,Qtr 1,February,8,87.50%,Latino
2017,Qtr 1,February,8,100.00%,White
2017,Qtr 1,February,9,100.00%,Asian
2017,Qtr 1,February,9,50.00%,Black
2017,Qtr 1,February,9,100.00%,Latino
2017,Qtr 1,February,9,100.00%,White
2017,Qtr 1,February,10,100.00%,Asian
2017,Qtr 1,February,10,100.00%,Black
2017,Qtr 1,February,10,100.00%,Latino
2017,Qtr 1,February,10,85.71%,White
2017,Qtr 1,February,11,0.00%,Missing/Unknown
2017,Qtr 1,February,11,100.00%,Asian
2017,Qtr 1,February,11,50.00%,Black
2017,Qtr 1,February,11,50.00%,Latino
2017,Qtr 1,February,11,100.00%,White
2017,Qtr 1,February,12,100.00%,Latino
2017,Qtr 1,February,12,100.00%,White
2017,Qtr 1,February,13,100.00%,Asian
2017,Qtr 1,February,13,83.33%,Latino
2017,Qtr 1,February,13,100.00%,White
2017,Qtr 1,February,14,100.00%,Missing/Unknown
2017,Qtr 1,February,14,100.00%,Asian
2017,Qtr 1,February,14,100.00%,Black
2017,Qtr 1,February,14,100.00%,Latino
2017,Qtr 1,February,14,100.00%,White
2017,Qtr 1,February,15,100.00%,Asian
2017,Qtr 1,February,15,100.00%,Black
2017,Qtr 1,February,15,100.00%,Latino
2017,Qtr 1,February,15,100.00%,White
2017,Qtr 1,February,16,100.00%,Black
2017,Qtr 1,February,16,100.00%,Latino
2017,Qtr 1,February,16,100.00%,White
2017,Qtr 1,February,17,100.00%,Asian
2017,Qtr 1,February,17,100.00%,Black
2017,Qtr 1,February,17,100.00%,Latino
2017,Qtr 1,February,17,100.00%,White
2017,Qtr 1,February,21,100.00%,Asian
2017,Qtr 1,February,21,100.00%,Black
2017,Qtr 1,February,21,83.33%,Latino
2017,Qtr 1,February,21,76.92%,White
2017,Qtr 1,February,22,100.00%,Missing/Unknown
2017,Qtr 1,February,22,100.00%,Asian
2017,Qtr 1,February,22,100.00%,Black
2017,Qtr 1,February,22,100.00%,Latino
2017,Qtr 1,February,22,100.00%,White
2017,Qtr 1,February,23,100.00%,Asian
2017,Qtr 1,February,23,100.00%,Latino
2017,Qtr 1,February,23,100.00%,White
2017,Qtr 1,February,24,100.00%,Latino
2017,Qtr 1,February,24,100.00%,White
2017,Qtr 1,February,26,100.00%,Latino
2017,Qtr 1,February,27,100.00%,Missing/Unknown
