Year,Quarter,Month,Day,Average of VIC_JUV_max,Average of VIC_TEEN_max
2017,Qtr 1,January,3,0.00%,2.86%
2017,Qtr 1,January,4,0.00%,0.00%
2017,Qtr 1,January,5,0.00%,0.00%
2017,Qtr 1,January,6,0.00%,6.67%
2017,Qtr 1,January,9,0.00%,0.00%
2017,Qtr 1,January,10,2.08%,0.00%
2017,Qtr 1,January,11,2.08%,0.00%
2017,Qtr 1,January,12,0.00%,2.44%
2017,Qtr 1,January,13,0.00%,0.00%
2017,Qtr 1,January,14,2.22%,0.00%
2017,Qtr 1,January,15,0.00%,0.00%
2017,Qtr 1,January,17,1.85%,1.85%
2017,Qtr 1,January,18,0.00%,0.00%
2017,Qtr 1,January,19,4.35%,0.00%
2017,Qtr 1,January,20,0.00%,0.00%
2017,Qtr 1,January,21,0.00%,0.00%
2017,Qtr 1,January,22,0.00%,0.00%
2017,Qtr 1,January,23,2.78%,0.00%
2017,Qtr 1,January,24,4.65%,4.65%
2017,Qtr 1,January,25,0.00%,0.00%
2017,Qtr 1,January,26,3.45%,3.45%
2017,Qtr 1,January,27,8.33%,0.00%
2017,Qtr 1,January,28,0.00%,0.00%
2017,Qtr 1,January,29,0.00%,0.00%
2017,Qtr 1,January,30,0.00%,3.85%
2017,Qtr 1,January,31,0.00%,0.00%
2017,Qtr 1,February,1,0.00%,3.85%
2017,Qtr 1,February,2,2.70%,0.00%
2017,Qtr 1,February,3,0.00%,0.00%
2017,Qtr 1,February,4,0.00%,0.00%
2017,Qtr 1,February,6,5.08%,0.00%
2017,Qtr 1,February,7,7.41%,0.00%
2017,Qtr 1,February,8,10.00%,0.00%
2017,Qtr 1,February,9,0.00%,0.00%
2017,Qtr 1,February,10,0.00%,4.00%
2017,Qtr 1,February,11,0.00%,9.09%
2017,Qtr 1,February,12,0.00%,0.00%
2017,Qtr 1,February,13,0.00%,9.09%
2017,Qtr 1,February,14,6.90%,0.00%
2017,Qtr 1,February,15,0.00%,10.00%
2017,Qtr 1,February,16,0.00%,0.00%
2017,Qtr 1,February,17,0.00%,0.00%
2017,Qtr 1,February,18,0.00%,0.00%
2017,Qtr 1,February,20,0.00%,0.00%
2017,Qtr 1,February,21,2.56%,2.56%
2017,Qtr 1,February,22,0.00%,4.76%
2017,Qtr 1,February,23,0.00%,12.50%
2017,Qtr 1,February,24,0.00%,0.00%
2017,Qtr 1,February,26,0.00%,0.00%
2017,Qtr 1,February,27,0.00%,0.00%
2017,Qtr 1,February,28,0.00%,0.00%
2017,Qtr 1,March,1,0.00%,0.00%
2017,Qtr 1,March,2,11.54%,3.85%
2017,Qtr 1,March,3,0.00%,0.00%
2017,Qtr 1,March,4,0.00%,0.00%
2017,Qtr 1,March,5,0.00%,0.00%
2017,Qtr 1,March,6,3.13%,3.13%
2017,Qtr 1,March,7,6.45%,3.23%
2017,Qtr 1,March,8,0.00%,3.85%
2017,Qtr 1,March,9,0.00%,3.23%
2017,Qtr 1,March,10,0.00%,0.00%
2017,Qtr 1,March,11,0.00%,0.00%
2017,Qtr 1,March,12,0.00%,0.00%
2017,Qtr 1,March,13,4.00%,0.00%
2017,Qtr 1,March,14,0.00%,4.35%
2017,Qtr 1,March,15,0.00%,11.11%
2017,Qtr 1,March,16,4.17%,0.00%
2017,Qtr 1,March,17,5.56%,0.00%
2017,Qtr 1,March,18,0.00%,0.00%
2017,Qtr 1,March,19,0.00%,0.00%
2017,Qtr 1,March,20,2.86%,2.86%
2017,Qtr 1,March,21,0.00%,0.00%
2017,Qtr 1,March,22,0.00%,0.00%
2017,Qtr 1,March,23,1.89%,0.00%
2017,Qtr 1,March,24,0.00%,0.00%
2017,Qtr 1,March,25,7.14%,0.00%
2017,Qtr 1,March,26,0.00%,0.00%
2017,Qtr 1,March,27,0.00%,0.00%
2017,Qtr 1,March,28,0.00%,0.00%
2017,Qtr 1,March,29,0.00%,0.00%
2017,Qtr 1,March,30,0.00%,7.14%
2017,Qtr 1,March,31,0.00%,50.00%
2017,Qtr 2,April,1,0.00%,0.00%
2017,Qtr 2,April,2,0.00%,0.00%
2017,Qtr 2,April,3,0.00%,0.00%
2017,Qtr 2,April,4,3.23%,9.68%
2017,Qtr 2,April,5,0.00%,4.35%
2017,Qtr 2,April,6,3.85%,0.00%
2017,Qtr 2,April,7,0.00%,2.63%
2017,Qtr 2,April,8,0.00%,0.00%
2017,Qtr 2,April,10,2.44%,4.88%
2017,Qtr 2,April,11,0.00%,13.79%
2017,Qtr 2,April,12,0.00%,0.00%
2017,Qtr 2,April,13,5.56%,0.00%
2017,Qtr 2,April,14,0.00%,0.00%
2017,Qtr 2,April,15,0.00%,0.00%
2017,Qtr 2,April,17,0.00%,0.00%
2017,Qtr 2,April,18,2.56%,0.00%
2017,Qtr 2,April,19,0.00%,3.57%
2017,Qtr 2,April,20,4.26%,2.13%
2017,Qtr 2,April,21,2.70%,2.70%
2017,Qtr 2,April,22,8.33%,8.33%
2017,Qtr 2,April,23,0.00%,0.00%
2017,Qtr 2,April,24,0.00%,6.06%
2017,Qtr 2,April,25,0.00%,0.00%
2017,Qtr 2,April,26,3.57%,7.14%
2017,Qtr 2,April,27,2.56%,5.13%
2017,Qtr 2,April,28,0.00%,0.00%
2017,Qtr 2,May,1,2.70%,2.70%
2017,Qtr 2,May,2,0.00%,0.00%
2017,Qtr 2,May,3,3.70%,0.00%
2017,Qtr 2,May,4,0.00%,0.00%
2017,Qtr 2,May,5,0.00%,0.00%
2017,Qtr 2,May,6,0.00%,0.00%
2017,Qtr 2,May,8,3.23%,0.00%
2017,Qtr 2,May,9,1.92%,0.00%
2017,Qtr 2,May,10,5.36%,0.00%
2017,Qtr 2,May,11,4.55%,0.00%
2017,Qtr 2,May,12,0.00%,4.00%
2017,Qtr 2,May,13,0.00%,0.00%
2017,Qtr 2,May,15,2.33%,0.00%
2017,Qtr 2,May,16,0.00%,1.82%
2017,Qtr 2,May,17,2.86%,0.00%
2017,Qtr 2,May,18,0.00%,8.33%
2017,Qtr 2,May,19,0.00%,3.03%
2017,Qtr 2,May,22,5.26%,5.26%
2017,Qtr 2,May,23,2.86%,0.00%
2017,Qtr 2,May,24,0.00%,5.41%
2017,Qtr 2,May,25,12.90%,9.68%
2017,Qtr 2,May,26,0.00%,0.00%
2017,Qtr 2,May,30,11.63%,4.65%
2017,Qtr 2,May,31,9.62%,3.85%
2017,Qtr 2,June,1,2.63%,0.00%
2017,Qtr 2,June,2,2.38%,2.38%
2017,Qtr 2,June,5,0.00%,0.00%
2017,Qtr 2,June,6,1.96%,1.96%
2017,Qtr 2,June,7,1.59%,3.17%
2017,Qtr 2,June,8,0.00%,0.00%
2017,Qtr 2,June,9,0.00%,0.00%
2017,Qtr 2,June,10,0.00%,0.00%
2017,Qtr 2,June,11,0.00%,0.00%
2017,Qtr 2,June,12,4.26%,4.26%
2017,Qtr 2,June,13,3.03%,3.03%
2017,Qtr 2,June,14,0.00%,0.00%
2017,Qtr 2,June,15,3.13%,0.00%
2017,Qtr 2,June,16,0.00%,0.00%
2017,Qtr 2,June,17,0.00%,0.00%
2017,Qtr 2,June,19,2.13%,2.13%
2017,Qtr 2,June,20,13.16%,2.63%
2017,Qtr 2,June,21,0.00%,3.13%
2017,Qtr 2,June,22,2.27%,0.00%
2017,Qtr 2,June,23,0.00%,11.11%
2017,Qtr 2,June,24,0.00%,0.00%
2017,Qtr 2,June,26,0.00%,2.56%
2017,Qtr 2,June,27,3.23%,0.00%
2017,Qtr 2,June,28,0.00%,3.45%
2017,Qtr 2,June,29,4.17%,0.00%
2017,Qtr 2,June,30,4.44%,4.44%
2017,Qtr 3,July,1,0.00%,0.00%
2017,Qtr 3,July,3,0.00%,0.00%
2017,Qtr 3,July,5,0.00%,0.00%
2017,Qtr 3,July,6,0.00%,3.45%
2017,Qtr 3,July,7,0.00%,0.00%
2017,Qtr 3,July,10,0.00%,0.00%
2017,Qtr 3,July,11,0.00%,7.32%
2017,Qtr 3,July,12,3.57%,0.00%
2017,Qtr 3,July,13,2.27%,0.00%
2017,Qtr 3,July,14,7.69%,0.00%
2017,Qtr 3,July,15,0.00%,0.00%
2017,Qtr 3,July,17,4.76%,0.00%
2017,Qtr 3,July,18,0.00%,2.78%
2017,Qtr 3,July,19,0.00%,0.00%
2017,Qtr 3,July,20,0.00%,0.00%
2017,Qtr 3,July,21,0.00%,0.00%
2017,Qtr 3,July,24,0.00%,0.00%
2017,Qtr 3,July,25,5.00%,2.50%
2017,Qtr 3,July,26,2.94%,5.88%
2017,Qtr 3,July,27,3.85%,0.00%
2017,Qtr 3,July,28,0.00%,3.33%
2017,Qtr 3,July,30,0.00%,0.00%
2017,Qtr 3,July,31,2.70%,2.70%
2017,Qtr 3,August,1,0.00%,0.00%
2017,Qtr 3,August,2,4.55%,0.00%
2017,Qtr 3,August,3,14.29%,7.14%
2017,Qtr 3,August,4,0.00%,0.00%
2017,Qtr 3,August,5,0.00%,0.00%
2017,Qtr 3,August,7,2.94%,0.00%
2017,Qtr 3,August,8,0.00%,2.44%
2017,Qtr 3,August,9,0.00%,0.00%
2017,Qtr 3,August,10,0.00%,5.00%
2017,Qtr 3,August,11,5.88%,5.88%
2017,Qtr 3,August,12,0.00%,0.00%
2017,Qtr 3,August,13,0.00%,0.00%
2017,Qtr 3,August,14,0.00%,2.56%
2017,Qtr 3,August,15,2.94%,2.94%
2017,Qtr 3,August,16,0.00%,3.45%
2017,Qtr 3,August,17,2.17%,0.00%
2017,Qtr 3,August,18,0.00%,0.00%
2017,Qtr 3,August,19,0.00%,0.00%
2017,Qtr 3,August,20,0.00%,0.00%
2017,Qtr 3,August,21,1.96%,5.88%
2017,Qtr 3,August,22,0.00%,8.82%
2017,Qtr 3,August,23,3.85%,3.85%
2017,Qtr 3,August,24,0.00%,0.00%
2017,Qtr 3,August,25,6.45%,3.23%
2017,Qtr 3,August,26,0.00%,0.00%
2017,Qtr 3,August,27,0.00%,0.00%
2017,Qtr 3,August,28,3.03%,0.00%
2017,Qtr 3,August,29,0.00%,2.44%
2017,Qtr 3,August,30,0.00%,0.00%
2017,Qtr 3,August,31,0.00%,0.00%
2017,Qtr 3,September,1,0.00%,0.00%
2017,Qtr 3,September,2,0.00%,0.00%
2017,Qtr 3,September,3,0.00%,8.33%
2017,Qtr 3,September,5,2.08%,2.08%
2017,Qtr 3,September,6,0.00%,0.00%
2017,Qtr 3,September,7,0.00%,0.00%
2017,Qtr 3,September,8,0.00%,0.00%
2017,Qtr 3,September,9,0.00%,0.00%
2017,Qtr 3,September,10,0.00%,0.00%
2017,Qtr 3,September,11,4.55%,4.55%
2017,Qtr 3,September,12,2.33%,0.00%
2017,Qtr 3,September,13,0.00%,0.00%
2017,Qtr 3,September,14,4.55%,0.00%
2017,Qtr 3,September,15,0.00%,0.00%
2017,Qtr 3,September,16,0.00%,0.00%
2017,Qtr 3,September,17,0.00%,0.00%
2017,Qtr 3,September,18,2.86%,0.00%
2017,Qtr 3,September,19,0.00%,0.00%
2017,Qtr 3,September,20,0.00%,2.86%
2017,Qtr 3,September,21,2.50%,2.50%
2017,Qtr 3,September,22,0.00%,0.00%
2017,Qtr 3,September,23,0.00%,0.00%
2017,Qtr 3,September,24,0.00%,0.00%
2017,Qtr 3,September,25,0.00%,4.65%
2017,Qtr 3,September,26,0.00%,5.88%
2017,Qtr 3,September,27,0.00%,9.52%
2017,Qtr 3,September,28,2.70%,0.00%
2017,Qtr 3,September,29,0.00%,2.78%
2017,Qtr 3,September,30,0.00%,0.00%
2017,Qtr 4,October,2,0.00%,0.00%
2017,Qtr 4,October,3,4.55%,0.00%
2017,Qtr 4,October,4,4.17%,0.00%
2017,Qtr 4,October,5,7.89%,0.00%
2017,Qtr 4,October,6,0.00%,0.00%
2017,Qtr 4,October,7,0.00%,0.00%
2017,Qtr 4,October,8,0.00%,0.00%
2017,Qtr 4,October,10,0.00%,4.55%
2017,Qtr 4,October,11,0.00%,0.00%
2017,Qtr 4,October,12,0.00%,0.00%
2017,Qtr 4,October,13,0.00%,3.85%
2017,Qtr 4,October,14,0.00%,0.00%
2017,Qtr 4,October,15,0.00%,0.00%
2017,Qtr 4,October,16,4.00%,2.00%
2017,Qtr 4,October,17,3.85%,0.00%
2017,Qtr 4,October,18,0.00%,4.00%
2017,Qtr 4,October,19,0.00%,0.00%
2017,Qtr 4,October,20,0.00%,0.00%
2017,Qtr 4,October,21,0.00%,8.33%
2017,Qtr 4,October,22,7.14%,0.00%
2017,Qtr 4,October,23,0.00%,0.00%
2017,Qtr 4,October,24,0.00%,0.00%
2017,Qtr 4,October,25,3.70%,14.81%
2017,Qtr 4,October,26,4.55%,0.00%
2017,Qtr 4,October,27,2.33%,0.00%
2017,Qtr 4,October,28,0.00%,0.00%
2017,Qtr 4,October,29,0.00%,0.00%
2017,Qtr 4,October,30,11.43%,2.86%
2017,Qtr 4,October,31,3.33%,3.33%
2017,Qtr 4,November,1,0.00%,0.00%
2017,Qtr 4,November,2,3.70%,11.11%
2017,Qtr 4,November,3,0.00%,0.00%
2017,Qtr 4,November,4,0.00%,0.00%
2017,Qtr 4,November,6,0.00%,1.85%
2017,Qtr 4,November,7,0.00%,0.00%
2017,Qtr 4,November,8,3.57%,3.57%
2017,Qtr 4,November,9,0.00%,0.00%
2017,Qtr 4,November,12,0.00%,0.00%
2017,Qtr 4,November,13,0.00%,0.00%
2017,Qtr 4,November,14,5.88%,8.82%
2017,Qtr 4,November,15,0.00%,0.00%
2017,Qtr 4,November,16,0.00%,0.00%
2017,Qtr 4,November,17,0.00%,0.00%
2017,Qtr 4,November,18,0.00%,0.00%
2017,Qtr 4,November,19,0.00%,0.00%
2017,Qtr 4,November,20,4.00%,0.00%
2017,Qtr 4,November,21,4.17%,8.33%
2017,Qtr 4,November,22,7.14%,7.14%
2017,Qtr 4,November,25,11.11%,0.00%
2017,Qtr 4,November,27,6.67%,4.44%
