Year,Quarter,Month,Day,All Cases,Average of DISMISSED_SORT
2017,Qtr 1,January,2,All Cases,100.00%
2017,Qtr 1,January,3,All Cases,13.33%
2017,Qtr 1,January,4,All Cases,15.38%
2017,Qtr 1,January,5,All Cases,13.04%
2017,Qtr 1,January,6,All Cases,8.11%
2017,Qtr 1,January,9,All Cases,5.88%
2017,Qtr 1,January,10,All Cases,6.90%
2017,Qtr 1,January,11,All Cases,17.07%
2017,Qtr 1,January,12,All Cases,13.16%
2017,Qtr 1,January,13,All Cases,18.18%
2017,Qtr 1,January,17,All Cases,10.00%
2017,Qtr 1,January,18,All Cases,7.69%
2017,Qtr 1,January,19,All Cases,12.00%
2017,Qtr 1,January,20,All Cases,7.14%
2017,Qtr 1,January,23,All Cases,7.69%
2017,Qtr 1,January,24,All Cases,16.00%
2017,Qtr 1,January,25,All Cases,3.03%
2017,Qtr 1,January,26,All Cases,13.95%
2017,Qtr 1,January,27,All Cases,21.43%
2017,Qtr 1,January,30,All Cases,15.38%
2017,Qtr 1,January,31,All Cases,6.25%
2017,Qtr 1,February,1,All Cases,28.57%
2017,Qtr 1,February,2,All Cases,6.25%
2017,Qtr 1,February,3,All Cases,17.39%
2017,Qtr 1,February,6,All Cases,10.53%
2017,Qtr 1,February,7,All Cases,18.18%
2017,Qtr 1,February,8,All Cases,6.67%
2017,Qtr 1,February,9,All Cases,17.24%
2017,Qtr 1,February,10,All Cases,12.50%
2017,Qtr 1,February,14,All Cases,12.90%
2017,Qtr 1,February,15,All Cases,13.04%
2017,Qtr 1,February,16,All Cases,11.11%
2017,Qtr 1,February,17,All Cases,10.34%
2017,Qtr 1,February,21,All Cases,6.90%
2017,Qtr 1,February,22,All Cases,7.14%
2017,Qtr 1,February,23,All Cases,22.22%
2017,Qtr 1,February,24,All Cases,12.50%
2017,Qtr 1,February,27,All Cases,5.88%
2017,Qtr 1,February,28,All Cases,10.53%
2017,Qtr 1,March,1,All Cases,0.00%
2017,Qtr 1,March,2,All Cases,3.45%
2017,Qtr 1,March,3,All Cases,17.86%
2017,Qtr 1,March,6,All Cases,10.71%
2017,Qtr 1,March,7,All Cases,10.71%
2017,Qtr 1,March,8,All Cases,22.22%
2017,Qtr 1,March,9,All Cases,14.63%
2017,Qtr 1,March,10,All Cases,6.67%
2017,Qtr 1,March,13,All Cases,4.55%
2017,Qtr 1,March,14,All Cases,12.50%
2017,Qtr 1,March,15,All Cases,22.73%
