Year,Quarter,Month,Day,Average of FILEDISP_DAYS,Median of FILEDISP_DAYS
2017,Qtr 1,January,3,116.69,81
2017,Qtr 1,January,4,183.82,90
2017,Qtr 1,January,5,129.12,95
2017,Qtr 1,January,6,200.03,94
2017,Qtr 1,January,9,352.56,95
2017,Qtr 1,January,10,185.59,113
2017,Qtr 1,January,11,262.59,99
2017,Qtr 1,January,12,422.59,119
2017,Qtr 1,January,13,262.55,168
2017,Qtr 1,January,17,165.58,104
2017,Qtr 1,January,18,198.48,126
2017,Qtr 1,January,19,368.48,107
2017,Qtr 1,January,20,559.77,127
2017,Qtr 1,January,23,204.60,106
2017,Qtr 1,January,24,213.48,104
2017,Qtr 1,January,25,182.19,92
2017,Qtr 1,January,26,382.43,121
2017,Qtr 1,January,27,291.94,78
2017,Qtr 1,January,30,170.57,108
2017,Qtr 1,January,31,170.86,101
2017,Qtr 1,February,1,222.84,104
2017,Qtr 1,February,2,370.99,146
2017,Qtr 1,February,3,642.77,220
2017,Qtr 1,February,6,128.87,89
2017,Qtr 1,February,7,114.68,68
2017,Qtr 1,February,8,149.02,61
2017,Qtr 1,February,9,188.05,115
2017,Qtr 1,February,10,377.44,214
2017,Qtr 1,February,14,212.37,111
2017,Qtr 1,February,15,153.02,70
2017,Qtr 1,February,16,119.55,62
2017,Qtr 1,February,17,493.70,124
2017,Qtr 1,February,21,241.92,80
2017,Qtr 1,February,22,183.64,107
2017,Qtr 1,February,23,194.29,87
2017,Qtr 1,February,24,229.81,70
2017,Qtr 1,February,27,162.71,68
2017,Qtr 1,February,28,168.81,105
2017,Qtr 1,March,1,158.62,86
2017,Qtr 1,March,2,179.74,100
2017,Qtr 1,March,3,247.82,36
2017,Qtr 1,March,6,167.24,88
2017,Qtr 1,March,7,144.93,96
2017,Qtr 1,March,8,365.59,177
2017,Qtr 1,March,9,356.76,127
2017,Qtr 1,March,10,529.58,96
2017,Qtr 1,March,12,158.00,158
2017,Qtr 1,March,13,186.20,119
2017,Qtr 1,March,14,100.92,74
2017,Qtr 1,March,15,205.03,100
2017,Qtr 1,March,16,261.82,81
2017,Qtr 1,March,17,281.80,65
2017,Qtr 1,March,18,676.00,676
2017,Qtr 1,March,20,198.22,102
2017,Qtr 1,March,21,187.07,77
2017,Qtr 1,March,22,224.63,125
2017,Qtr 1,March,23,303.56,120
2017,Qtr 1,March,24,274.41,64
2017,Qtr 1,March,27,133.25,77
2017,Qtr 1,March,28,145.45,103
2017,Qtr 1,March,29,185.37,65
2017,Qtr 1,March,30,372.58,77
2017,Qtr 2,April,3,161.00,80
2017,Qtr 2,April,4,169.36,112
2017,Qtr 2,April,5,155.56,82
2017,Qtr 2,April,6,345.76,64
2017,Qtr 2,April,7,256.95,73
2017,Qtr 2,April,9,71.00,71
2017,Qtr 2,April,10,142.73,77
2017,Qtr 2,April,11,212.97,75
2017,Qtr 2,April,12,170.78,64
2017,Qtr 2,April,13,327.76,128
2017,Qtr 2,April,14,255.75,44
2017,Qtr 2,April,17,163.21,98
2017,Qtr 2,April,18,152.58,82
2017,Qtr 2,April,19,137.43,85
2017,Qtr 2,April,20,555.20,129
2017,Qtr 2,April,21,426.27,70
2017,Qtr 2,April,24,158.17,103
2017,Qtr 2,April,25,158.54,82
2017,Qtr 2,April,26,112.02,63
2017,Qtr 2,April,27,284.56,85
2017,Qtr 2,April,28,647.91,115
2017,Qtr 2,May,1,151.21,65
2017,Qtr 2,May,2,148.70,66
2017,Qtr 2,May,3,144.51,84
2017,Qtr 2,May,4,293.32,96
2017,Qtr 2,May,5,324.65,71
2017,Qtr 2,May,6,140.67,86
2017,Qtr 2,May,7,80.00,80
2017,Qtr 2,May,8,145.61,93
2017,Qtr 2,May,9,186.83,71
2017,Qtr 2,May,10,256.59,76
2017,Qtr 2,May,11,190.14,93
2017,Qtr 2,May,12,224.05,56
2017,Qtr 2,May,15,133.30,77
2017,Qtr 2,May,16,170.89,71
2017,Qtr 2,May,17,137.11,95
2017,Qtr 2,May,18,534.04,149
2017,Qtr 2,May,19,335.90,79
2017,Qtr 2,May,20,151.00,151
2017,Qtr 2,May,22,142.22,92
2017,Qtr 2,May,23,107.51,57
2017,Qtr 2,May,24,150.06,102
2017,Qtr 2,May,25,316.32,84
2017,Qtr 2,May,26,297.50,73
2017,Qtr 2,May,30,250.92,118
2017,Qtr 2,May,31,177.45,106
2017,Qtr 2,June,1,276.69,87
2017,Qtr 2,June,2,216.44,46
2017,Qtr 2,June,5,438.10,111
2017,Qtr 2,June,6,492.51,99
2017,Qtr 2,June,7,147.18,78
2017,Qtr 2,June,8,459.88,141
2017,Qtr 2,June,9,513.19,69
2017,Qtr 2,June,12,207.97,93
2017,Qtr 2,June,13,132.22,50
2017,Qtr 2,June,14,183.77,86
2017,Qtr 2,June,15,275.85,85
2017,Qtr 2,June,16,228.06,86
2017,Qtr 2,June,19,211.78,78
2017,Qtr 2,June,20,533.44,165
2017,Qtr 2,June,21,135.60,78
2017,Qtr 2,June,22,689.69,126
2017,Qtr 2,June,23,201.96,72
2017,Qtr 2,June,26,140.97,96
2017,Qtr 2,June,27,128.46,74
2017,Qtr 2,June,28,297.60,97
2017,Qtr 2,June,29,465.99,94
2017,Qtr 2,June,30,175.41,70
2017,Qtr 3,July,2,793.00,793
2017,Qtr 3,July,3,196.87,92
2017,Qtr 3,July,5,165.01,71
2017,Qtr 3,July,6,628.00,113
2017,Qtr 3,July,7,221.51,58
2017,Qtr 3,July,10,168.10,102
2017,Qtr 3,July,11,153.11,68
2017,Qtr 3,July,12,148.03,75
2017,Qtr 3,July,13,484.16,95
2017,Qtr 3,July,14,128.85,71
2017,Qtr 3,July,16,83.00,83
2017,Qtr 3,July,17,163.53,84
2017,Qtr 3,July,18,146.96,75
2017,Qtr 3,July,19,106.66,68
2017,Qtr 3,July,20,332.19,108
2017,Qtr 3,July,21,320.31,87
2017,Qtr 3,July,24,123.70,67
2017,Qtr 3,July,25,147.54,83
2017,Qtr 3,July,26,154.89,89
2017,Qtr 3,July,27,202.55,93
2017,Qtr 3,July,28,254.29,62
2017,Qtr 3,July,31,134.21,96
2017,Qtr 3,August,1,193.50,77
2017,Qtr 3,August,2,192.96,90
2017,Qtr 3,August,3,402.98,111
2017,Qtr 3,August,4,370.83,61
2017,Qtr 3,August,7,142.51,104
2017,Qtr 3,August,8,167.20,90
2017,Qtr 3,August,9,132.83,91
2017,Qtr 3,August,10,282.42,88
2017,Qtr 3,August,11,271.98,92
2017,Qtr 3,August,14,150.51,88
2017,Qtr 3,August,15,191.90,82
2017,Qtr 3,August,16,124.40,72
2017,Qtr 3,August,17,339.81,120
2017,Qtr 3,August,18,332.47,70
2017,Qtr 3,August,21,122.77,76
2017,Qtr 3,August,22,141.55,103
2017,Qtr 3,August,23,137.06,72
2017,Qtr 3,August,24,248.43,103
2017,Qtr 3,August,25,227.58,70
2017,Qtr 3,August,28,235.28,103
