Year,Quarter,Month,Day,Average of FILEDISP_DAYS,Median of FILEDISP_DAYS
2017,Qtr 1,January,2,511.00,511
2017,Qtr 1,January,3,149.31,146
2017,Qtr 1,January,4,107.11,85
2017,Qtr 1,January,5,317.21,247
2017,Qtr 1,January,6,183.48,137
2017,Qtr 1,January,9,221.38,168
2017,Qtr 1,January,10,247.35,189
2017,Qtr 1,January,11,192.46,114
2017,Qtr 1,January,12,210.22,156
2017,Qtr 1,January,13,331.00,255
2017,Qtr 1,January,17,428.86,203
2017,Qtr 1,January,18,193.39,168
2017,Qtr 1,January,19,183.77,117
2017,Qtr 1,January,20,188.32,192
2017,Qtr 1,January,23,141.92,106
2017,Qtr 1,January,24,316.08,230
2017,Qtr 1,January,25,198.45,174
2017,Qtr 1,January,26,270.79,164
2017,Qtr 1,January,27,326.82,233
2017,Qtr 1,January,30,250.78,226
2017,Qtr 1,January,31,293.58,81
2017,Qtr 1,February,1,291.37,259
2017,Qtr 1,February,2,238.83,127
2017,Qtr 1,February,3,337.86,161
2017,Qtr 1,February,6,149.54,168
2017,Qtr 1,February,7,126.29,109
2017,Qtr 1,February,8,161.21,76
2017,Qtr 1,February,9,824.81,178
2017,Qtr 1,February,10,258.10,156
2017,Qtr 1,February,14,426.78,447
2017,Qtr 1,February,15,381.96,148
2017,Qtr 1,February,16,329.66,220
2017,Qtr 1,February,17,347.56,73
2017,Qtr 1,February,21,216.00,139
2017,Qtr 1,February,22,177.81,111
2017,Qtr 1,February,23,373.39,317
2017,Qtr 1,February,24,599.56,290
2017,Qtr 1,February,27,210.06,192
2017,Qtr 1,February,28,258.59,133
2017,Qtr 1,March,1,211.77,92
2017,Qtr 1,March,2,190.90,176
2017,Qtr 1,March,3,256.17,221
2017,Qtr 1,March,6,402.27,183
2017,Qtr 1,March,7,126.48,90
2017,Qtr 1,March,8,253.14,154
2017,Qtr 1,March,9,210.12,155
2017,Qtr 1,March,10,185.82,185
2017,Qtr 1,March,13,193.79,142
2017,Qtr 1,March,14,147.29,106
2017,Qtr 1,March,15,341.10,212
2017,Qtr 1,March,16,248.92,156
