Year,Quarter,Month,Day,Median of FILEDISP_DAYS,PRETRIAL
2017,Qtr 1,January,3,104,Detained
2017,Qtr 1,January,3,28,ROR/Bonded
2017,Qtr 1,January,4,57,Detained
2017,Qtr 1,January,4,139,ROR/Bonded
2017,Qtr 1,January,5,188,Detained
2017,Qtr 1,January,5,391,ROR/Bonded
2017,Qtr 1,January,6,51,Detained
2017,Qtr 1,January,6,204,ROR/Bonded
2017,Qtr 1,January,9,168,Detained
2017,Qtr 1,January,9,141,ROR/Bonded
2017,Qtr 1,January,10,25,Detained
2017,Qtr 1,January,10,341,ROR/Bonded
2017,Qtr 1,January,11,42,Detained
2017,Qtr 1,January,11,144,ROR/Bonded
2017,Qtr 1,January,12,92,Detained
2017,Qtr 1,January,12,238,ROR/Bonded
2017,Qtr 1,January,13,114,Detained
2017,Qtr 1,January,13,140,ROR/Bonded
2017,Qtr 1,January,17,134,Detained
2017,Qtr 1,January,17,175,ROR/Bonded
2017,Qtr 1,January,18,90,Detained
2017,Qtr 1,January,18,171,ROR/Bonded
2017,Qtr 1,January,19,70,Detained
2017,Qtr 1,January,19,196,ROR/Bonded
2017,Qtr 1,January,20,56,Detained
2017,Qtr 1,January,20,331,ROR/Bonded
2017,Qtr 1,January,23,50,Detained
2017,Qtr 1,January,23,188,ROR/Bonded
2017,Qtr 1,January,24,88,Detained
2017,Qtr 1,January,24,288,ROR/Bonded
2017,Qtr 1,January,25,77,Detained
2017,Qtr 1,January,25,251,ROR/Bonded
2017,Qtr 1,January,26,164,Detained
2017,Qtr 1,January,26,135,ROR/Bonded
2017,Qtr 1,January,27,158,Detained
2017,Qtr 1,January,27,358,ROR/Bonded
2017,Qtr 1,January,30,188,Detained
2017,Qtr 1,January,30,160,ROR/Bonded
2017,Qtr 1,January,31,43,Detained
2017,Qtr 1,January,31,452,ROR/Bonded
2017,Qtr 1,February,1,56,Detained
2017,Qtr 1,February,1,308,ROR/Bonded
2017,Qtr 1,February,2,119,Detained
2017,Qtr 1,February,2,594,ROR/Bonded
2017,Qtr 1,February,3,62,Detained
2017,Qtr 1,February,3,186,ROR/Bonded
2017,Qtr 1,February,6,27,Detained
2017,Qtr 1,February,6,94,ROR/Bonded
2017,Qtr 1,February,7,67,Detained
2017,Qtr 1,February,7,175,ROR/Bonded
2017,Qtr 1,February,8,15,Detained
2017,Qtr 1,February,8,433,ROR/Bonded
2017,Qtr 1,February,9,85,Detained
2017,Qtr 1,February,9,2675,ROR/Bonded
2017,Qtr 1,February,10,91,Detained
2017,Qtr 1,February,10,296,ROR/Bonded
2017,Qtr 1,February,14,57,Detained
2017,Qtr 1,February,14,821,ROR/Bonded
2017,Qtr 1,February,15,85,Detained
2017,Qtr 1,February,15,315,ROR/Bonded
2017,Qtr 1,February,16,38,Detained
2017,Qtr 1,February,16,347,ROR/Bonded
2017,Qtr 1,February,17,80,Detained
2017,Qtr 1,February,17,72,ROR/Bonded
2017,Qtr 1,February,21,95,Detained
2017,Qtr 1,February,21,161,ROR/Bonded
2017,Qtr 1,February,22,26,Detained
2017,Qtr 1,February,22,240,ROR/Bonded
2017,Qtr 1,February,23,43,Detained
2017,Qtr 1,February,23,251,ROR/Bonded
2017,Qtr 1,February,24,303,Detained
2017,Qtr 1,February,24,333,ROR/Bonded
2017,Qtr 1,February,27,103,Detained
2017,Qtr 1,February,27,207,ROR/Bonded
2017,Qtr 1,February,28,80,Detained
2017,Qtr 1,February,28,145,ROR/Bonded
2017,Qtr 1,March,1,77,Detained
2017,Qtr 1,March,1,200,ROR/Bonded
2017,Qtr 1,March,2,142,Detained
2017,Qtr 1,March,2,197,ROR/Bonded
2017,Qtr 1,March,3,221,Detained
2017,Qtr 1,March,3,227,ROR/Bonded
2017,Qtr 1,March,6,114,Detained
2017,Qtr 1,March,6,268,ROR/Bonded
2017,Qtr 1,March,7,51,Detained
2017,Qtr 1,March,7,95,ROR/Bonded
2017,Qtr 1,March,8,146,Detained
2017,Qtr 1,March,8,96,ROR/Bonded
2017,Qtr 1,March,9,80,Detained
2017,Qtr 1,March,9,196,ROR/Bonded
2017,Qtr 1,March,10,196,Detained
2017,Qtr 1,March,10,132,ROR/Bonded
2017,Qtr 1,March,13,125,Detained
2017,Qtr 1,March,13,170,ROR/Bonded
2017,Qtr 1,March,14,77,Detained
2017,Qtr 1,March,14,141,ROR/Bonded
2017,Qtr 1,March,15,64,Detained
2017,Qtr 1,March,15,168,ROR/Bonded
2017,Qtr 1,March,16,47,Detained
2017,Qtr 1,March,16,274,ROR/Bonded
2017,Qtr 1,March,17,130,Detained
2017,Qtr 1,March,17,309,ROR/Bonded
2017,Qtr 1,March,20,27,Detained
2017,Qtr 1,March,20,129,ROR/Bonded
2017,Qtr 1,March,21,84,Detained
2017,Qtr 1,March,21,222,ROR/Bonded
2017,Qtr 1,March,22,33,Detained
2017,Qtr 1,March,22,419,ROR/Bonded
2017,Qtr 1,March,23,72,Detained
2017,Qtr 1,March,23,226,ROR/Bonded
2017,Qtr 1,March,24,191,Detained
2017,Qtr 1,March,24,193,ROR/Bonded
2017,Qtr 1,March,27,140,Detained
2017,Qtr 1,March,27,159,ROR/Bonded
2017,Qtr 1,March,28,57,Detained
2017,Qtr 1,March,28,245,ROR/Bonded
2017,Qtr 1,March,29,127,Detained
