Year,Quarter,Month,Day,Median of FILEDISP_DAYS,PRETRIAL
2017,Qtr 1,January,3,24,Detained
2017,Qtr 1,January,3,92,ROR/Bonded
2017,Qtr 1,January,4,49,Detained
2017,Qtr 1,January,4,107,ROR/Bonded
2017,Qtr 1,January,5,2,Detained
2017,Qtr 1,January,5,132,ROR/Bonded
2017,Qtr 1,January,6,1,Detained
2017,Qtr 1,January,6,117,ROR/Bonded
2017,Qtr 1,January,9,5,Detained
2017,Qtr 1,January,9,109,ROR/Bonded
2017,Qtr 1,January,10,8,Detained
2017,Qtr 1,January,10,110,ROR/Bonded
2017,Qtr 1,January,11,8,Detained
2017,Qtr 1,January,11,108,ROR/Bonded
2017,Qtr 1,January,12,9,Detained
2017,Qtr 1,January,12,180,ROR/Bonded
2017,Qtr 1,January,13,6,Detained
2017,Qtr 1,January,13,202,ROR/Bonded
2017,Qtr 1,January,17,10,Detained
2017,Qtr 1,January,17,100,ROR/Bonded
2017,Qtr 1,January,18,15,Detained
2017,Qtr 1,January,18,145,ROR/Bonded
2017,Qtr 1,January,19,8,Detained
2017,Qtr 1,January,19,124,ROR/Bonded
2017,Qtr 1,January,20,46,Detained
2017,Qtr 1,January,20,118,ROR/Bonded
2017,Qtr 1,January,23,5,Detained
2017,Qtr 1,January,23,98,ROR/Bonded
2017,Qtr 1,January,24,18,Detained
2017,Qtr 1,January,24,105,ROR/Bonded
2017,Qtr 1,January,25,2,Detained
2017,Qtr 1,January,25,113,ROR/Bonded
2017,Qtr 1,January,26,45,Detained
2017,Qtr 1,January,26,153,ROR/Bonded
2017,Qtr 1,January,27,2,Detained
2017,Qtr 1,January,27,93,ROR/Bonded
2017,Qtr 1,January,30,27,Detained
2017,Qtr 1,January,30,109,ROR/Bonded
2017,Qtr 1,January,31,48,Detained
2017,Qtr 1,January,31,107,ROR/Bonded
2017,Qtr 1,February,1,2,Detained
2017,Qtr 1,February,1,105,ROR/Bonded
2017,Qtr 1,February,2,146,Detained
2017,Qtr 1,February,2,82,ROR/Bonded
2017,Qtr 1,February,3,2,Detained
2017,Qtr 1,February,3,212,ROR/Bonded
2017,Qtr 1,February,6,10,Detained
2017,Qtr 1,February,6,106,ROR/Bonded
2017,Qtr 1,February,7,8,Detained
2017,Qtr 1,February,7,78,ROR/Bonded
2017,Qtr 1,February,8,2,Detained
2017,Qtr 1,February,8,85,ROR/Bonded
2017,Qtr 1,February,9,25,Detained
2017,Qtr 1,February,9,115,ROR/Bonded
2017,Qtr 1,February,10,44,Detained
2017,Qtr 1,February,10,339,ROR/Bonded
2017,Qtr 1,February,14,64,Detained
2017,Qtr 1,February,14,161,ROR/Bonded
2017,Qtr 1,February,15,23,Detained
2017,Qtr 1,February,15,97,ROR/Bonded
2017,Qtr 1,February,16,2,Detained
2017,Qtr 1,February,16,73,ROR/Bonded
2017,Qtr 1,February,17,12,Detained
2017,Qtr 1,February,17,169,ROR/Bonded
2017,Qtr 1,February,21,49,Detained
2017,Qtr 1,February,21,76,ROR/Bonded
2017,Qtr 1,February,22,76,Detained
2017,Qtr 1,February,22,95,ROR/Bonded
2017,Qtr 1,February,23,9,Detained
2017,Qtr 1,February,23,143,ROR/Bonded
2017,Qtr 1,February,24,3,Detained
2017,Qtr 1,February,24,108,ROR/Bonded
2017,Qtr 1,February,27,12,Detained
2017,Qtr 1,February,27,70,ROR/Bonded
2017,Qtr 1,February,28,7,Detained
2017,Qtr 1,February,28,113,ROR/Bonded
2017,Qtr 1,March,1,7,Detained
2017,Qtr 1,March,1,84,ROR/Bonded
2017,Qtr 1,March,2,14,Detained
2017,Qtr 1,March,2,141,ROR/Bonded
2017,Qtr 1,March,3,4,Detained
2017,Qtr 1,March,3,36,ROR/Bonded
2017,Qtr 1,March,6,20,Detained
2017,Qtr 1,March,6,85,ROR/Bonded
2017,Qtr 1,March,7,38,Detained
2017,Qtr 1,March,7,96,ROR/Bonded
2017,Qtr 1,March,8,2,Detained
2017,Qtr 1,March,8,349,ROR/Bonded
2017,Qtr 1,March,9,20,Detained
2017,Qtr 1,March,9,177,ROR/Bonded
2017,Qtr 1,March,10,14,Detained
2017,Qtr 1,March,10,168,ROR/Bonded
2017,Qtr 1,March,13,98,Detained
2017,Qtr 1,March,13,130,ROR/Bonded
2017,Qtr 1,March,14,1,Detained
2017,Qtr 1,March,14,96,ROR/Bonded
2017,Qtr 1,March,15,5,Detained
2017,Qtr 1,March,15,128,ROR/Bonded
2017,Qtr 1,March,16,15,Detained
2017,Qtr 1,March,16,83,ROR/Bonded
2017,Qtr 1,March,17,2,Detained
2017,Qtr 1,March,17,118,ROR/Bonded
2017,Qtr 1,March,18,676,Detained
2017,Qtr 1,March,20,17,Detained
2017,Qtr 1,March,20,126,ROR/Bonded
2017,Qtr 1,March,21,14,Detained
