Year,Quarter,Month,Day,All Cases,Average of ARRAIGN_FELONY2_SORT
2017,Qtr 1,January,2,All Cases,60.00%
2017,Qtr 1,January,3,All Cases,24.39%
2017,Qtr 1,January,4,All Cases,16.95%
2017,Qtr 1,January,5,All Cases,28.26%
2017,Qtr 1,January,6,All Cases,16.36%
2017,Qtr 1,January,9,All Cases,22.12%
2017,Qtr 1,January,10,All Cases,19.32%
2017,Qtr 1,January,11,All Cases,21.32%
2017,Qtr 1,January,12,All Cases,9.60%
2017,Qtr 1,January,13,All Cases,23.47%
2017,Qtr 1,January,14,All Cases,0.00%
2017,Qtr 1,January,16,All Cases,66.67%
2017,Qtr 1,January,17,All Cases,21.71%
2017,Qtr 1,January,18,All Cases,19.86%
2017,Qtr 1,January,19,All Cases,16.83%
2017,Qtr 1,January,20,All Cases,22.78%
2017,Qtr 1,January,21,All Cases,75.00%
2017,Qtr 1,January,23,All Cases,17.31%
2017,Qtr 1,January,24,All Cases,15.53%
2017,Qtr 1,January,25,All Cases,18.60%
2017,Qtr 1,January,26,All Cases,18.32%
2017,Qtr 1,January,27,All Cases,16.33%
2017,Qtr 1,January,28,All Cases,0.00%
2017,Qtr 1,January,29,All Cases,66.67%
2017,Qtr 1,January,30,All Cases,18.32%
2017,Qtr 1,January,31,All Cases,15.67%
2017,Qtr 1,February,1,All Cases,17.14%
2017,Qtr 1,February,2,All Cases,15.63%
2017,Qtr 1,February,3,All Cases,16.85%
2017,Qtr 1,February,4,All Cases,0.00%
2017,Qtr 1,February,5,All Cases,33.33%
2017,Qtr 1,February,6,All Cases,26.37%
2017,Qtr 1,February,7,All Cases,19.81%
2017,Qtr 1,February,8,All Cases,21.49%
2017,Qtr 1,February,9,All Cases,17.69%
2017,Qtr 1,February,10,All Cases,17.32%
2017,Qtr 1,February,11,All Cases,0.00%
2017,Qtr 1,February,12,All Cases,83.33%
2017,Qtr 1,February,13,All Cases,10.59%
2017,Qtr 1,February,14,All Cases,24.66%
2017,Qtr 1,February,15,All Cases,27.93%
2017,Qtr 1,February,16,All Cases,20.45%
2017,Qtr 1,February,17,All Cases,26.17%
2017,Qtr 1,February,21,All Cases,24.39%
2017,Qtr 1,February,22,All Cases,27.05%
2017,Qtr 1,February,23,All Cases,24.44%
2017,Qtr 1,February,24,All Cases,23.53%
2017,Qtr 1,February,25,All Cases,0.00%
2017,Qtr 1,February,26,All Cases,0.00%
2017,Qtr 1,February,27,All Cases,13.39%
2017,Qtr 1,February,28,All Cases,26.90%
2017,Qtr 1,March,1,All Cases,19.35%
2017,Qtr 1,March,2,All Cases,17.45%
2017,Qtr 1,March,3,All Cases,8.00%
2017,Qtr 1,March,4,All Cases,100.00%
2017,Qtr 1,March,5,All Cases,33.33%
2017,Qtr 1,March,6,All Cases,19.72%
2017,Qtr 1,March,7,All Cases,24.77%
2017,Qtr 1,March,8,All Cases,12.59%
2017,Qtr 1,March,9,All Cases,17.50%
2017,Qtr 1,March,10,All Cases,28.83%
2017,Qtr 1,March,11,All Cases,25.00%
2017,Qtr 1,March,12,All Cases,0.00%
2017,Qtr 1,March,13,All Cases,21.08%
2017,Qtr 1,March,14,All Cases,18.24%
2017,Qtr 1,March,15,All Cases,19.12%
2017,Qtr 1,March,16,All Cases,16.81%
2017,Qtr 1,March,17,All Cases,11.90%
2017,Qtr 1,March,18,All Cases,16.67%
2017,Qtr 1,March,19,All Cases,0.00%
2017,Qtr 1,March,20,All Cases,19.73%
2017,Qtr 1,March,21,All Cases,24.56%
2017,Qtr 1,March,22,All Cases,22.50%
2017,Qtr 1,March,23,All Cases,22.86%
2017,Qtr 1,March,24,All Cases,19.33%
2017,Qtr 1,March,25,All Cases,0.00%
2017,Qtr 1,March,26,All Cases,37.50%
2017,Qtr 1,March,27,All Cases,18.33%
2017,Qtr 1,March,28,All Cases,17.69%
2017,Qtr 1,March,29,All Cases,11.02%
2017,Qtr 1,March,30,All Cases,19.79%
2017,Qtr 1,March,31,All Cases,3.13%
2017,Qtr 2,April,1,All Cases,7.69%
2017,Qtr 2,April,2,All Cases,0.00%
2017,Qtr 2,April,3,All Cases,20.28%
2017,Qtr 2,April,4,All Cases,17.84%
2017,Qtr 2,April,5,All Cases,14.71%
2017,Qtr 2,April,6,All Cases,32.14%
2017,Qtr 2,April,7,All Cases,13.91%
2017,Qtr 2,April,8,All Cases,0.00%
