Year,Quarter,Month,Day,Number of Cases
2017,Qtr 1,January,3,24
2017,Qtr 1,January,4,17
2017,Qtr 1,January,5,9
2017,Qtr 1,January,6,11
2017,Qtr 1,January,9,25
2017,Qtr 1,January,10,28
2017,Qtr 1,January,11,23
2017,Qtr 1,January,12,19
2017,Qtr 1,January,13,10
2017,Qtr 1,January,14,1
2017,Qtr 1,January,15,1
2017,Qtr 1,January,17,28
2017,Qtr 1,January,18,12
2017,Qtr 1,January,19,8
2017,Qtr 1,January,20,8
2017,Qtr 1,January,21,11
2017,Qtr 1,January,23,19
2017,Qtr 1,January,24,23
2017,Qtr 1,January,25,11
2017,Qtr 1,January,26,14
2017,Qtr 1,January,27,11
2017,Qtr 1,January,28,3
2017,Qtr 1,January,29,13
2017,Qtr 1,January,30,10
2017,Qtr 1,January,31,13
2017,Qtr 1,February,1,9
2017,Qtr 1,February,2,20
2017,Qtr 1,February,3,10
2017,Qtr 1,February,4,8
2017,Qtr 1,February,6,31
2017,Qtr 1,February,7,14
2017,Qtr 1,February,8,13
2017,Qtr 1,February,9,10
2017,Qtr 1,February,10,6
2017,Qtr 1,February,11,4
2017,Qtr 1,February,12,2
2017,Qtr 1,February,13,10
2017,Qtr 1,February,14,15
2017,Qtr 1,February,15,11
2017,Qtr 1,February,16,14
2017,Qtr 1,February,17,11
2017,Qtr 1,February,20,1
2017,Qtr 1,February,21,21
2017,Qtr 1,February,22,11
2017,Qtr 1,February,23,17
2017,Qtr 1,February,24,7
2017,Qtr 1,February,26,3
2017,Qtr 1,February,27,18
2017,Qtr 1,February,28,32
2017,Qtr 1,March,1,14
2017,Qtr 1,March,2,11
2017,Qtr 1,March,3,8
2017,Qtr 1,March,4,15
2017,Qtr 1,March,5,3
2017,Qtr 1,March,6,18
2017,Qtr 1,March,7,13
2017,Qtr 1,March,8,12
2017,Qtr 1,March,9,15
2017,Qtr 1,March,10,12
2017,Qtr 1,March,11,1
2017,Qtr 1,March,12,5
2017,Qtr 1,March,13,16
2017,Qtr 1,March,14,9
2017,Qtr 1,March,15,10
2017,Qtr 1,March,16,14
2017,Qtr 1,March,17,11
2017,Qtr 1,March,18,4
2017,Qtr 1,March,19,8
2017,Qtr 1,March,20,22
2017,Qtr 1,March,21,14
2017,Qtr 1,March,22,18
2017,Qtr 1,March,23,25
2017,Qtr 1,March,24,14
2017,Qtr 1,March,25,5
2017,Qtr 1,March,26,5
2017,Qtr 1,March,27,14
2017,Qtr 1,March,28,12
2017,Qtr 1,March,29,11
2017,Qtr 1,March,30,5
2017,Qtr 1,March,31,1
2017,Qtr 2,April,1,3
2017,Qtr 2,April,2,1
2017,Qtr 2,April,3,22
2017,Qtr 2,April,4,21
2017,Qtr 2,April,5,10
2017,Qtr 2,April,6,10
2017,Qtr 2,April,7,21
2017,Qtr 2,April,8,4
2017,Qtr 2,April,10,30
2017,Qtr 2,April,11,19
2017,Qtr 2,April,12,15
2017,Qtr 2,April,13,11
2017,Qtr 2,April,14,8
2017,Qtr 2,April,15,1
2017,Qtr 2,April,17,9
2017,Qtr 2,April,18,19
2017,Qtr 2,April,19,13
2017,Qtr 2,April,20,23
2017,Qtr 2,April,21,13
2017,Qtr 2,April,22,3
2017,Qtr 2,April,24,18
2017,Qtr 2,April,25,12
2017,Qtr 2,April,26,8
2017,Qtr 2,April,27,15
2017,Qtr 2,April,28,9
2017,Qtr 2,May,1,18
2017,Qtr 2,May,2,18
2017,Qtr 2,May,3,9
2017,Qtr 2,May,4,12
2017,Qtr 2,May,5,13
2017,Qtr 2,May,8,16
2017,Qtr 2,May,9,30
2017,Qtr 2,May,10,14
2017,Qtr 2,May,11,10
2017,Qtr 2,May,12,10
2017,Qtr 2,May,15,23
2017,Qtr 2,May,16,30
2017,Qtr 2,May,17,27
2017,Qtr 2,May,18,13
2017,Qtr 2,May,19,8
2017,Qtr 2,May,22,20
2017,Qtr 2,May,23,19
2017,Qtr 2,May,24,17
2017,Qtr 2,May,25,13
2017,Qtr 2,May,26,9
2017,Qtr 2,May,30,26
2017,Qtr 2,May,31,30
2017,Qtr 2,June,1,17
2017,Qtr 2,June,2,21
2017,Qtr 2,June,5,18
2017,Qtr 2,June,6,23
2017,Qtr 2,June,7,28
2017,Qtr 2,June,8,18
2017,Qtr 2,June,9,20
2017,Qtr 2,June,10,1
2017,Qtr 2,June,12,26
2017,Qtr 2,June,13,20
2017,Qtr 2,June,14,12
2017,Qtr 2,June,15,25
2017,Qtr 2,June,16,7
2017,Qtr 2,June,17,1
2017,Qtr 2,June,19,19
2017,Qtr 2,June,20,17
2017,Qtr 2,June,21,16
2017,Qtr 2,June,22,21
2017,Qtr 2,June,23,3
2017,Qtr 2,June,26,24
2017,Qtr 2,June,27,18
2017,Qtr 2,June,28,13
2017,Qtr 2,June,29,13
2017,Qtr 2,June,30,10
2017,Qtr 3,July,3,18
2017,Qtr 3,July,5,21
2017,Qtr 3,July,6,17
2017,Qtr 3,July,7,11
2017,Qtr 3,July,10,20
2017,Qtr 3,July,11,24
2017,Qtr 3,July,12,9
2017,Qtr 3,July,13,15
2017,Qtr 3,July,14,9
2017,Qtr 3,July,15,1
2017,Qtr 3,July,17,11
2017,Qtr 3,July,18,27
2017,Qtr 3,July,19,10
2017,Qtr 3,July,20,21
2017,Qtr 3,July,21,5
2017,Qtr 3,July,24,25
2017,Qtr 3,July,25,25
2017,Qtr 3,July,26,15
2017,Qtr 3,July,27,12
2017,Qtr 3,July,28,9
2017,Qtr 3,July,30,2
2017,Qtr 3,July,31,20
2017,Qtr 3,August,1,21
2017,Qtr 3,August,2,10
2017,Qtr 3,August,3,20
2017,Qtr 3,August,4,7
2017,Qtr 3,August,5,2
2017,Qtr 3,August,7,20
2017,Qtr 3,August,8,24
2017,Qtr 3,August,9,13
2017,Qtr 3,August,10,12
2017,Qtr 3,August,11,9
2017,Qtr 3,August,12,2
2017,Qtr 3,August,14,24
2017,Qtr 3,August,15,21
2017,Qtr 3,August,16,10
2017,Qtr 3,August,17,21
2017,Qtr 3,August,18,10
2017,Qtr 3,August,19,2
2017,Qtr 3,August,21,31
2017,Qtr 3,August,22,21
2017,Qtr 3,August,23,11
2017,Qtr 3,August,24,16
2017,Qtr 3,August,25,15
2017,Qtr 3,August,26,4
2017,Qtr 3,August,27,2
2017,Qtr 3,August,28,17
2017,Qtr 3,August,29,23
2017,Qtr 3,August,30,24
2017,Qtr 3,August,31,17
2017,Qtr 3,September,1,5
2017,Qtr 3,September,2,4
2017,Qtr 3,September,3,2
2017,Qtr 3,September,5,26
2017,Qtr 3,September,6,16
2017,Qtr 3,September,7,9
2017,Qtr 3,September,8,10
2017,Qtr 3,September,9,6
2017,Qtr 3,September,10,9
2017,Qtr 3,September,11,31
2017,Qtr 3,September,12,29
2017,Qtr 3,September,13,13
2017,Qtr 3,September,14,15
2017,Qtr 3,September,15,12
2017,Qtr 3,September,17,1
2017,Qtr 3,September,18,14
2017,Qtr 3,September,19,19
2017,Qtr 3,September,20,16
2017,Qtr 3,September,21,16
2017,Qtr 3,September,22,7
2017,Qtr 3,September,23,12
2017,Qtr 3,September,25,25
2017,Qtr 3,September,26,9
2017,Qtr 3,September,27,7
2017,Qtr 3,September,28,20
2017,Qtr 3,September,29,16
2017,Qtr 3,September,30,2
2017,Qtr 4,October,2,29
2017,Qtr 4,October,3,15
2017,Qtr 4,October,4,16
2017,Qtr 4,October,5,19
2017,Qtr 4,October,6,9
2017,Qtr 4,October,7,4
2017,Qtr 4,October,10,16
2017,Qtr 4,October,11,21
2017,Qtr 4,October,12,17
2017,Qtr 4,October,13,16
2017,Qtr 4,October,14,2
2017,Qtr 4,October,16,32
2017,Qtr 4,October,17,18
2017,Qtr 4,October,18,7
2017,Qtr 4,October,19,13
2017,Qtr 4,October,20,9
2017,Qtr 4,October,21,4
2017,Qtr 4,October,22,1
2017,Qtr 4,October,23,18
2017,Qtr 4,October,24,21
2017,Qtr 4,October,25,10
2017,Qtr 4,October,26,20
2017,Qtr 4,October,27,15
2017,Qtr 4,October,28,15
2017,Qtr 4,October,30,23
2017,Qtr 4,October,31,12
2017,Qtr 4,November,1,21
2017,Qtr 4,November,2,11
2017,Qtr 4,November,3,6
2017,Qtr 4,November,4,2
2017,Qtr 4,November,6,21
2017,Qtr 4,November,7,17
2017,Qtr 4,November,8,16
2017,Qtr 4,November,9,15
2017,Qtr 4,November,13,30
2017,Qtr 4,November,14,14
2017,Qtr 4,November,15,17
2017,Qtr 4,November,16,17
2017,Qtr 4,November,17,17
2017,Qtr 4,November,18,9
2017,Qtr 4,November,19,1
2017,Qtr 4,November,20,16
2017,Qtr 4,November,21,19
2017,Qtr 4,November,22,9
2017,Qtr 4,November,25,3
2017,Qtr 4,November,27,26
2017,Qtr 4,November,28,22
2017,Qtr 4,November,29,18
2017,Qtr 4,November,30,17
2017,Qtr 4,December,1,14
2017,Qtr 4,December,2,8
2017,Qtr 4,December,3,3
2017,Qtr 4,December,4,21
2017,Qtr 4,December,5,15
2017,Qtr 4,December,6,17
2017,Qtr 4,December,7,16
2017,Qtr 4,December,8,8
2017,Qtr 4,December,9,10
2017,Qtr 4,December,11,18
2017,Qtr 4,December,12,18
2017,Qtr 4,December,13,14
2017,Qtr 4,December,14,7
2017,Qtr 4,December,15,12
2017,Qtr 4,December,16,5
2017,Qtr 4,December,18,12
2017,Qtr 4,December,19,19
2017,Qtr 4,December,20,18
2017,Qtr 4,December,21,15
2017,Qtr 4,December,22,13
2017,Qtr 4,December,26,21
2017,Qtr 4,December,27,9
2017,Qtr 4,December,28,22
2017,Qtr 4,December,29,10
2017,Qtr 4,December,30,4
2017,Qtr 4,December,31,1
2018,Qtr 1,January,2,15
2018,Qtr 1,January,3,22
2018,Qtr 1,January,4,6
