Quarter,Percent of Cases Rejected
2017 Q1,13.4%
2017 Q2,14.2%
2017 Q3,13.9%
2017 Q4,14.1%
2018 Q1,13.8%
2018 Q2,13.7%
2018 Q3,14.1%
2018 Q4,12.8%
2019 Q1,12.3%
2019 Q2,14.7%
2019 Q3,17.9%
2019 Q4,18.4%
2020 Q1,18.3%
2020 Q2,17.8%
2020 Q3,19.4%
2020 Q4,20.3%
2021 Q1,21.4%
2021 Q2,23.2%
2021 Q3,25.1%
2021 Q4,22.6%
2022 Q1,23.6%
2022 Q2,20.1%
2022 Q3,21.4%
2022 Q4,22.2%
2023 Q1,21.8%
2023 Q2,22.9%
2023 Q3,23.9%
2023 Q4,20.1%
2024 Q1,20.3%
2024 Q2,20.2%
2024 Q3,20.5%
2024 Q4,18.8%
