,Quarter,Percent of Cases Rejected
0,2017 Q1,13.4%
1,2017 Q2,14.2%
2,2017 Q3,13.9%
3,2017 Q4,14.1%
4,2018 Q1,13.8%
5,2018 Q2,13.7%
6,2018 Q3,14.1%
7,2018 Q4,12.8%
8,2019 Q1,12.3%
9,2019 Q2,14.7%
10,2019 Q3,17.9%
11,2019 Q4,18.4%
12,2020 Q1,18.3%
13,2020 Q2,17.8%
14,2020 Q3,19.4%
15,2020 Q4,20.3%
16,2021 Q1,21.4%
17,2021 Q2,23.2%
18,2021 Q3,25.1%
19,2021 Q4,22.6%
20,2022 Q1,23.6%
21,2022 Q2,20.1%
22,2022 Q3,21.4%
23,2022 Q4,22.2%
24,2023 Q1,21.8%
25,2023 Q2,22.9%
26,2023 Q3,23.9%
27,2023 Q4,20.1%
28,2024 Q1,20.3%
29,2024 Q2,20.2%
30,2024 Q3,20.5%
31,2024 Q4,18.8%
