ARRAIGN_FELONY_SORT,QUARTER,Average No. of Days,Median No. of Days,count
1,2017 Q1,219,148,1429
1,2017 Q2,204,130,1398
1,2017 Q3,192,129,1390
1,2017 Q4,202,130,1116
1,2018 Q1,208,138,1286
1,2018 Q2,201,138,1201
1,2018 Q3,185,133,1172
1,2018 Q4,187,129,1146
1,2019 Q1,218,157,1247
1,2019 Q2,216,161,1250
1,2019 Q3,215,154,1343
1,2019 Q4,222,159,1267
1,2020 Q1,234,174,1055
1,2020 Q2,232,149,451
1,2020 Q3,234,168,628
1,2020 Q4,307,269,799
1,2021 Q1,343,296,1038
1,2021 Q2,323,271,1109
1,2021 Q3,340,273,1207
1,2021 Q4,349,268,1116
1,2022 Q1,380,326,1039
1,2022 Q2,374,297,1064
1,2022 Q3,362,287,1251
1,2022 Q4,360,268,1209
1,2023 Q1,379,291,1284
1,2023 Q2,394,309,1354
1,2023 Q3,387,299,1340
1,2023 Q4,387,260,1353
1,2024 Q1,389,270,1383
1,2024 Q2,393,261,1504
1,2024 Q3,371,231,1195
1,2024 Q4,355,236,1132
