Quarter,Detained at Arraignment,Released at Arriagnment
2017 Q1,82,208
2017 Q2,65,179
2017 Q3,76,176
2017 Q4,67,196
2018 Q1,84,193
2018 Q2,89,193
2018 Q3,77,193
2018 Q4,86,197
2019 Q1,93,223
2019 Q2,85,235
2019 Q3,94,227
2019 Q4,106,210
2020 Q1,104,242
2020 Q2,96,244
2020 Q3,92,307
2020 Q4,141,363
2021 Q1,187,374
2021 Q2,181,326
2021 Q3,157,335
2021 Q4,179,328
2022 Q1,220,393
2022 Q2,183,360
2022 Q3,173,369
2022 Q4,172,379
2023 Q1,194,385
2023 Q2,221,405
2023 Q3,181,390
2023 Q4,193,382
2024 Q1,168,384
2024 Q2,175,374
2024 Q3,136,319
2024 Q4,166,304
