REFERRAL_QUARTER,Number of Violent Crimes Referred
2017 Q1,1044
2017 Q2,1133
2017 Q3,1141
2017 Q4,1101
2018 Q1,1075
2018 Q2,1173
2018 Q3,1245
2018 Q4,1150
2019 Q1,1214
2019 Q2,1223
2019 Q3,1344
2019 Q4,1176
2020 Q1,1193
2020 Q2,1201
2020 Q3,1292
2020 Q4,1251
2021 Q1,1201
2021 Q2,1270
2021 Q3,1476
2021 Q4,1191
2022 Q1,1353
2022 Q2,1506
2022 Q3,1545
2022 Q4,1400
2023 Q1,1333
2023 Q2,1471
2023 Q3,1524
2023 Q4,1454
2024 Q1,1488
2024 Q2,1551
2024 Q3,1579
2024 Q4,1286
