FILING_QUARTER,Asian,Black,Latino,Missing/Unknown,White
2017 Q1,97,158,611,36,485
2017 Q2,139,198,864,46,677
2017 Q3,107,211,807,51,539
2017 Q4,105,214,799,36,572
2018 Q1,130,215,849,45,617
2018 Q2,151,244,869,40,690
2018 Q3,133,243,956,42,653
2018 Q4,113,186,833,47,577
2019 Q1,124,178,664,39,507
2019 Q2,84,194,684,48,443
2019 Q3,46,102,416,23,275
2019 Q4,46,62,267,12,195
2020 Q1,35,76,258,12,195
2020 Q2,13,27,92,5,41
2020 Q3,10,23,99,2,42
2020 Q4,17,30,89,6,54
2021 Q1,11,9,86,,47
2021 Q2,9,12,63,2,19
2021 Q3,14,16,73,2,27
2021 Q4,3,5,53,1,20
2022 Q1,17,20,69,8,48
2022 Q2,12,26,82,1,58
2022 Q3,12,24,97,3,57
2022 Q4,17,30,99,4,68
2023 Q1,17,24,97,6,83
2023 Q2,16,32,114,2,74
2023 Q3,22,28,119,6,84
2023 Q4,10,40,141,5,90
2024 Q1,31,37,143,5,111
2024 Q2,33,44,170,13,101
2024 Q3,20,58,184,11,79
2024 Q4,23,58,162,8,80
