REFERRAL_QUARTER,REJECTION_DECISION_SORT,Asian,Black,Latino,Missing/Unknown,White
2017 Q1,0,7.6%,11.4%,43.0%,3.3%,34.7%
2017 Q1,1,6.8%,10.2%,42.4%,6.8%,33.9%
2017 Q2,0,7.0%,9.9%,45.6%,2.6%,34.9%
2017 Q2,1,6.2%,12.3%,43.2%,6.2%,32.1%
2017 Q3,0,6.1%,12.5%,46.4%,2.4%,32.7%
2017 Q3,1,6.8%,10.2%,44.1%,5.1%,33.9%
2017 Q4,0,6.5%,12.1%,46.4%,2.6%,32.4%
2017 Q4,1,3.4%,14.4%,43.2%,2.5%,36.4%
2018 Q1,0,6.7%,11.7%,45.6%,2.2%,33.7%
2018 Q1,1,4.7%,13.2%,39.5%,3.9%,38.8%
2018 Q2,0,7.9%,12.3%,41.5%,1.9%,36.4%
2018 Q2,1,4.8%,14.9%,45.2%,1.8%,33.3%
2018 Q3,0,6.2%,11.7%,47.9%,2.4%,31.7%
2018 Q3,1,7.4%,15.3%,41.1%,4.3%,31.9%
2018 Q4,0,6.3%,10.2%,45.7%,2.7%,35.0%
2018 Q4,1,10.5%,8.8%,49.7%,1.2%,29.8%
2019 Q1,0,7.7%,10.8%,42.8%,3.8%,34.8%
2019 Q1,1,7.4%,13.8%,44.8%,3.2%,30.9%
2019 Q2,0,5.6%,14.0%,46.5%,3.1%,30.8%
2019 Q2,1,8.8%,11.1%,48.9%,2.1%,29.1%
2019 Q3,0,6.1%,10.0%,48.1%,2.4%,33.3%
2019 Q3,1,9.9%,10.4%,46.2%,2.1%,31.4%
2019 Q4,0,7.2%,9.4%,47.0%,2.2%,34.2%
2019 Q4,1,7.7%,11.2%,47.0%,4.0%,30.1%
2020 Q1,0,7.1%,12.5%,41.7%,1.9%,36.9%
2020 Q1,1,9.4%,9.3%,49.0%,2.4%,29.8%
2020 Q2,0,9.0%,10.7%,51.6%,4.9%,23.8%
2020 Q2,1,10.4%,10.9%,48.6%,1.9%,28.2%
2020 Q3,0,10.8%,7.7%,59.2%,0.8%,21.5%
2020 Q3,1,11.6%,9.5%,50.9%,1.9%,26.1%
2020 Q4,0,6.8%,14.6%,44.7%,2.9%,31.1%
2020 Q4,1,10.6%,9.5%,47.8%,1.9%,30.1%
2021 Q1,0,6.2%,9.2%,53.8%,1.5%,29.2%
2021 Q1,1,7.5%,10.7%,48.8%,2.4%,30.6%
2021 Q2,0,8.3%,11.1%,54.2%,1.4%,25.0%
2021 Q2,1,8.1%,10.5%,50.9%,2.8%,27.7%
2021 Q3,0,10.2%,10.2%,54.5%,3.4%,21.6%
2021 Q3,1,9.0%,10.8%,47.8%,1.7%,30.7%
2021 Q4,0,8.8%,11.0%,47.3%,3.3%,29.7%
2021 Q4,1,7.4%,10.3%,49.4%,2.2%,30.7%
2022 Q1,0,8.0%,16.1%,40.2%,4.5%,31.3%
2022 Q1,1,8.3%,8.9%,53.3%,1.3%,28.1%
2022 Q2,0,6.9%,4.9%,58.8%,,29.4%
2022 Q2,1,7.5%,11.0%,47.8%,3.2%,30.5%
2022 Q3,0,7.7%,11.3%,49.3%,2.1%,29.6%
2022 Q3,1,6.2%,12.2%,52.6%,1.6%,27.4%
2022 Q4,0,7.9%,15.9%,39.1%,2.0%,35.1%
2022 Q4,1,7.6%,11.5%,49.4%,2.3%,29.2%
2023 Q1,0,8.0%,10.0%,45.3%,0.7%,36.0%
2023 Q1,1,7.4%,12.0%,54.3%,1.4%,24.9%
2023 Q2,0,7.3%,13.5%,44.4%,1.1%,33.7%
2023 Q2,1,8.1%,13.4%,48.3%,1.8%,28.3%
2023 Q3,0,7.4%,13.3%,43.1%,2.7%,33.5%
2023 Q3,1,8.3%,12.1%,54.3%,1.5%,23.9%
2023 Q4,0,5.2%,13.3%,52.0%,1.7%,27.7%
2023 Q4,1,8.2%,13.9%,50.6%,1.5%,25.8%
2024 Q1,0,10.5%,11.5%,42.0%,2.5%,33.5%
2024 Q1,1,5.9%,12.5%,57.8%,0.5%,23.3%
2024 Q2,0,10.1%,11.6%,45.7%,3.4%,29.2%
2024 Q2,1,8.6%,9.3%,52.5%,2.5%,27.0%
2024 Q3,0,5.1%,15.2%,49.8%,4.1%,25.8%
2024 Q3,1,12.7%,8.4%,51.1%,2.7%,25.1%
2024 Q4,0,8.7%,14.9%,48.2%,3.1%,25.1%
2024 Q4,1,9.3%,9.3%,58.0%,0.8%,22.5%
