Quarter,Percent of Felony Cases Resolved as Misdemeanors
2017 Q1,7.47%
2017 Q2,4.76%
2017 Q3,5.63%
2017 Q4,6.77%
2018 Q1,2.84%
2018 Q2,3.32%
2018 Q3,5.12%
2018 Q4,4.23%
2019 Q1,4.61%
2019 Q2,2.77%
2019 Q3,4.30%
2019 Q4,9.26%
2020 Q1,4.41%
2020 Q2,5.49%
2020 Q3,3.53%
2020 Q4,6.35%
2021 Q1,8.13%
2021 Q2,3.58%
2021 Q3,5.38%
2021 Q4,9.86%
2022 Q1,5.83%
2022 Q2,10.43%
2022 Q3,8.52%
2022 Q4,14.16%
2023 Q1,12.09%
2023 Q2,13.95%
2023 Q3,14.58%
2023 Q4,13.08%
2024 Q1,11.62%
2024 Q2,11.94%
2024 Q3,10.39%
2024 Q4,13.52%
2025 Q1,9.29%
2025 Q2,10.29%
2025 Q3,8.93%
